GA,PSO,ACO,NSGA2
248171.05992211148,279954.4385718025,250512.8453699947,248711.2940044598
263499.62912078004,296066.62062156125,256174.26157460973,242784.69327711925
259038.489174873,276219.8656411942,251296.88788630455,250164.9131088201
246955.79158176502,303417.3674726381,256638.83044810768,252058.17742560257
259116.07767311615,297690.755798253,257761.31554104478,253738.7612751861
246792.3458936396,305549.15218363533,257248.95275083598,246850.40239159786
258653.89213813492,265555.6612734052,246544.4981606914,246652.1121989514
252384.4019289838,308508.4658926538,260864.61969773847,256561.93379059905
255106.90021330537,288185.3985737066,257710.62025944208,250043.23669692434
248266.1325669227,303384.03060663067,248535.9157993211,251488.0506515477
