Iterasi,aco,ga,nsga2,ntnsga2,pso
1,39970.199999999975,39970.199999999975,39970.199999999975,39845.759999999995,40779.1
2,39970.199999999975,39897.9,39970.199999999975,39736.240000000005,40779.1
3,39970.199999999975,39897.9,39730.1,39715.46333333335,40120.300000000025
4,39970.199999999975,39897.9,39730.1,39711.873333333344,39693.9
5,39970.199999999975,39731.00000000001,39730.1,39710.69666666668,39693.9
6,39970.199999999975,39731.00000000001,39730.1,39710.69666666668,39693.9
7,39970.199999999975,39731.00000000001,39730.1,39710.69666666668,39693.9
8,39970.199999999975,39731.00000000001,39730.1,39710.69666666668,39693.9
9,39970.199999999975,39731.00000000001,39730.1,39710.69666666668,39693.9
10,39970.199999999975,39731.00000000001,39730.1,39710.69666666668,39693.9
11,39970.199999999975,39730.1,39730.1,39710.69666666668,39693.9
12,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
13,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
14,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
15,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
16,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
17,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
18,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
19,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
20,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
21,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
22,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
23,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
24,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
25,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
26,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
27,39970.199999999975,39694.800000000025,39730.1,39710.69666666668,39693.9
