n,azam,ntnsga
1,105870.0,2604.0
2,107610.0,2614.0
3,108430.0,2625.0
4,109080.0,2628.0
5,109150.0,2628.0
6,109520.0,2630.0
7,110630.0,2645.0
8,112370.0,2655.0
9,112860.0,2657.0
10,113060.0,2659.0
11,113660.0,2659.0
12,113670.0,2661.0
13,113920.0,2662.0
14,114480.0,2663.0
15,114550.0,2663.0
16,114940.0,2663.0
17,115000.0,2664.0
18,115290.0,2671.0
19,115320.0,2676.0
20,115340.0,2683.0
21,115620.0,2685.0
22,115620.0,2687.0
23,115870.0,2687.0
24,116520.0,2689.0
25,116550.0,2693.0
26,117400.0,2706.0
27,117650.0,2709.0
28,117910.0,2733.0
29,117990.0,2777.0
30,119590.0,2801.0
