n,azam,ntnsga
1,105870.0,111393.3489391529
2,107610.0,111393.3489391529
3,108430.0,111393.3489391529
4,109080.0,111942.92033024496
5,109150.0,112095.98899843056
6,109520.0,112196.40861975506
7,110630.0,112196.40861975506
8,112370.0,112196.40861975506
9,112860.0,112196.40861975506
10,113060.0,112196.40861975506
11,113660.0,112196.40861975506
12,113670.0,112196.40861975506
13,113920.0,112196.40861975506
14,114480.0,112196.40861975506
15,114550.0,112196.40861975506
16,114940.0,112196.40861975506
17,115000.0,112196.40861975506
18,115290.0,112196.40861975506
19,115320.0,112196.40861975506
20,115340.0,112196.40861975506
21,115620.0,112196.40861975506
22,115620.0,112196.40861975506
23,115870.0,112196.40861975506
24,116520.0,112196.40861975506
25,116550.0,112196.40861975506
26,117400.0,112196.40861975506
27,117650.0,112196.40861975506
28,117910.0,112196.40861975506
29,117990.0,112196.40861975506
30,119590.0,112196.40861975506
