algorithm,config_name,run_index,final_score,output_dir,clusters
nsga2,nsga2_comb1,7,114814.52829753514,results/gib_multirun_bug2/nsga2_comb1_run8,7
nsga2,nsga2_comb1,1,112619.29048549721,results/gib_multirun_bug2/nsga2_comb1_run2,7
nsga2,nsga2_comb1,2,116471.70274739954,results/gib_multirun_bug2/nsga2_comb1_run3,7
nsga2,nsga2_comb1,0,114742.0769818002,results/gib_multirun_bug2/nsga2_comb1_run1,7
nsga2,nsga2_comb1,6,117484.36537837907,results/gib_multirun_bug2/nsga2_comb1_run7,7
nsga2,nsga2_comb1,3,108423.01638541797,results/gib_multirun_bug2/nsga2_comb1_run4,7
nsga2,nsga2_comb1,5,113949.74836890926,results/gib_multirun_bug2/nsga2_comb1_run6,7
nsga2,nsga2_comb1,8,107842.91668102842,results/gib_multirun_bug2/nsga2_comb1_run9,7
nsga2,nsga2_comb1,4,110669.14462251608,results/gib_multirun_bug2/nsga2_comb1_run5,7
nsga2,nsga2_comb1,9,111755.87400190717,results/gib_multirun_bug2/nsga2_comb1_run10,7
nsga2,nsga2_comb2,1,112619.29048549721,results/gib_multirun_bug2/nsga2_comb2_run2,7
nsga2,nsga2_comb2,0,115836.53075039959,results/gib_multirun_bug2/nsga2_comb2_run1,7
nsga2,nsga2_comb2,5,114599.50390807493,results/gib_multirun_bug2/nsga2_comb2_run6,7
nsga2,nsga2_comb2,9,112004.0708188225,results/gib_multirun_bug2/nsga2_comb2_run10,7
nsga2,nsga2_comb2,4,110824.91752132731,results/gib_multirun_bug2/nsga2_comb2_run5,7
nsga2,nsga2_comb2,8,107955.01119398088,results/gib_multirun_bug2/nsga2_comb2_run9,7
nsga2,nsga2_comb2,6,118053.5916865094,results/gib_multirun_bug2/nsga2_comb2_run7,7
nsga2,nsga2_comb2,3,108446.97797632698,results/gib_multirun_bug2/nsga2_comb2_run4,7
nsga2,nsga2_comb2,2,116492.35001613521,results/gib_multirun_bug2/nsga2_comb2_run3,7
nsga2,nsga2_comb2,7,114963.17737566367,results/gib_multirun_bug2/nsga2_comb2_run8,7
nsga2,nsga2_comb3,1,112619.29048549721,results/gib_multirun_bug2/nsga2_comb3_run2,7
nsga2,nsga2_comb3,3,108423.01638541797,results/gib_multirun_bug2/nsga2_comb3_run4,7
nsga2,nsga2_comb3,2,115404.20994857703,results/gib_multirun_bug2/nsga2_comb3_run3,7
nsga2,nsga2_comb3,7,114814.52829753514,results/gib_multirun_bug2/nsga2_comb3_run8,7
nsga2,nsga2_comb3,8,107842.91668102842,results/gib_multirun_bug2/nsga2_comb3_run9,7
nsga2,nsga2_comb3,6,117679.06963483845,results/gib_multirun_bug2/nsga2_comb3_run7,7
nsga2,nsga2_comb3,5,114297.56265438374,results/gib_multirun_bug2/nsga2_comb3_run6,7
nsga2,nsga2_comb3,9,111755.87400190717,results/gib_multirun_bug2/nsga2_comb3_run10,7
nsga2,nsga2_comb3,0,114967.74702341906,results/gib_multirun_bug2/nsga2_comb3_run1,7
nsga2,nsga2_comb3,4,110669.14462251608,results/gib_multirun_bug2/nsga2_comb3_run5,7
nsga2,nsga2_comb4,4,110555.56909384967,results/gib_multirun_bug2/nsga2_comb4_run5,7
nsga2,nsga2_comb4,6,117558.16114870024,results/gib_multirun_bug2/nsga2_comb4_run7,7
nsga2,nsga2_comb4,2,116620.35182552807,results/gib_multirun_bug2/nsga2_comb4_run3,7
nsga2,nsga2_comb4,1,112393.62044387838,results/gib_multirun_bug2/nsga2_comb4_run2,7
nsga2,nsga2_comb4,7,114814.52829753514,results/gib_multirun_bug2/nsga2_comb4_run8,7
nsga2,nsga2_comb4,8,107842.91668102842,results/gib_multirun_bug2/nsga2_comb4_run9,7
nsga2,nsga2_comb4,5,113510.33511547878,results/gib_multirun_bug2/nsga2_comb4_run6,7
nsga2,nsga2_comb4,9,111785.99542223132,results/gib_multirun_bug2/nsga2_comb4_run10,7
nsga2,nsga2_comb4,0,114967.74702341906,results/gib_multirun_bug2/nsga2_comb4_run1,7
nsga2,nsga2_comb4,3,108423.01638541797,results/gib_multirun_bug2/nsga2_comb4_run4,7
nsga2,nsga2_rl,6,116943.33222718386,results/gib_multirun_bug2/nsga2_rl_run7,7
nsga2,nsga2_rl,4,110625.8929030223,results/gib_multirun_bug2/nsga2_rl_run5,7
nsga2,nsga2_rl,8,107842.91668102842,results/gib_multirun_bug2/nsga2_rl_run9,7
nsga2,nsga2_rl,2,116658.46597448278,results/gib_multirun_bug2/nsga2_rl_run3,7
nsga2,nsga2_rl,5,113510.33511547877,results/gib_multirun_bug2/nsga2_rl_run6,7
nsga2,nsga2_rl,1,112840.32238279971,results/gib_multirun_bug2/nsga2_rl_run2,7
nsga2,nsga2_rl,7,114814.52829753514,results/gib_multirun_bug2/nsga2_rl_run8,7
nsga2,nsga2_rl,9,111755.87400190717,results/gib_multirun_bug2/nsga2_rl_run10,7
nsga2,nsga2_rl,0,114855.6525104666,results/gib_multirun_bug2/nsga2_rl_run1,7
nsga2,nsga2_rl,3,108446.97797632698,results/gib_multirun_bug2/nsga2_rl_run4,7
