iter,best,mean,best_route_time,mean_route_time
1,57406.8,80651.886,4641.5,5983.431500000001
2,52358.9,75860.031,4334.299999999999,5824.0775
3,50014.5,71485.3165,4242.4,5538.22
4,49014.1,68344.2275,4067.1,5445.1265
5,49014.1,66377.2775,4067.1,5353.130999999999
6,49014.1,64764.8135,4067.1,5293.52
7,49014.1,63206.056,4067.1,5228.2654999999995
8,49014.1,61932.6405,4067.1,5111.247
9,49014.1,61042.001,4067.1,5119.927
10,49014.1,60076.890999999996,4067.1,5041.621499999999
11,49014.1,59373.788,4067.1,5036.583
12,49014.1,58744.954,4067.1,4990.6845
13,49014.1,58202.522000000004,4067.1,4957.6625
14,49014.1,57531.078499999996,4067.1,4901.4235
15,49014.1,56773.975999999995,4067.1,4862.4735
16,49014.1,56435.235499999995,4067.1,4893.982
17,49014.1,56170.86,4067.1,4848.095
18,49014.1,55771.768,4067.1,4824.353
19,49014.1,55523.562000000005,4067.1,4819.6939999999995
20,49014.1,55139.22149999999,4067.1,4804.9335
21,49014.1,54903.97349999999,4067.1,4851.7625
22,49014.1,54753.8875,4067.1,4846.1045
23,49014.1,54563.4555,4067.1,4874.722
24,49014.1,54454.352,4067.1,4859.4185
25,49014.1,54299.0735,4067.1,4845.4235
26,49014.1,54207.5525,4067.1,4839.067
27,49014.1,54130.3325,4067.1,4859.7225
28,49014.1,54072.28,4067.1,4844.6155
29,49014.1,53995.054,4067.1,4810.639499999999
30,49014.1,53869.83899999999,4067.1,4794.3865
31,49014.1,53665.828,4067.1,4765.876
32,49014.1,53523.855,4067.1,4769.698
33,49014.1,53361.08899999999,4067.1,4723.643
34,49014.1,53242.278999999995,4067.1,4729.4105
35,49014.1,53159.331,4067.1,4741.077
36,49014.1,53079.7695,4067.1,4731.255
37,49014.1,53024.652,4067.1,4765.116
38,49014.1,52948.3655,4067.1,4712.06
39,49014.1,52893.2155,4067.1,4711.6795
40,49014.1,52777.0865,4067.1,4691.8820000000005
41,49014.1,52652.0465,4067.1,4676.6545
42,49014.1,52528.6735,4067.1,4658.701
43,49014.1,52334.532999999996,4067.1,4628.486
44,49014.1,52272.412000000004,4067.1,4692.94
45,49014.1,52193.751,4067.1,4650.074
46,49014.1,52138.905,4067.1,4633.9745
47,49014.1,52083.9105,4067.1,4641.048
48,49014.1,52017.793999999994,4067.1,4596.3075
49,49014.1,51892.1435,4067.1,4603.9205
50,49014.1,51847.187000000005,4067.1,4592.1245
51,49014.1,51738.986,4067.1,4592.648
52,49014.1,51625.1475,4067.1,4595.434499999999
53,49014.1,51563.023,4067.1,4576.504
54,49014.1,51499.2605,4067.1,4566.1105
55,49014.1,51468.442,4067.1,4576.799
56,49014.1,51433.638499999994,4067.1,4560.9025
57,49014.1,51378.8225,4067.1,4574.1865
58,49014.1,51324.77,4067.1,4539.4915
59,49014.1,51282.2675,4067.1,4510.459
60,49014.1,51261.6025,4067.1,4533.075
61,49014.1,51209.41,4067.1,4518.8935
62,49014.1,51161.53,4067.1,4503.055
63,49014.1,51102.638499999994,4067.1,4517.451
64,49014.1,51081.9145,4067.1,4517.68
65,49014.1,51024.436499999996,4067.1,4507.573
66,49014.1,51007.375,4067.1,4531.2155
67,49014.1,50960.872,4067.1,4472.919
68,49014.1,50888.374500000005,4067.1,4453.871
69,49014.1,50883.3725,4067.1,4477.4185
70,49014.1,50861.435,4067.1,4463.39
71,49014.1,50861.435,4067.1,4480.2255
72,49014.1,50852.9505,4067.1,4451.777
73,49014.1,50803.483499999995,4067.1,4470.235
74,49014.1,50700.41649999999,4067.1,4444.062
75,49014.1,50700.41649999999,4067.1,4411.124
76,49014.1,50649.271499999995,4067.1,4414.7685
77,49014.1,50631.593,4067.1,4414.7125
78,49014.1,50623.248999999996,4067.1,4422.965
79,49014.1,50599.542,4067.1,4418.3814999999995
80,49014.1,50592.725999999995,4067.1,4423.3175
81,49014.1,50561.50899999999,4067.1,4411.411
82,49014.1,50559.24399999999,4067.1,4408.3105
83,49014.1,50533.319500000005,4067.1,4402.763999999999
84,49014.1,50521.62,4067.1,4379.1565
85,49014.1,50513.441,4067.1,4395.5225
86,49014.1,50500.9055,4067.1,4381.304
87,49014.1,50483.460999999996,4067.1,4408.4925
88,49014.1,50469.541,4067.1,4426.5385
89,49014.1,50469.541,4067.1,4401.663
90,49014.1,50469.541,4067.1,4397.4755
91,49014.1,50428.3695,4067.1,4394.2225
92,49014.1,50428.3695,4067.1,4387.295999999999
93,49014.1,50393.8555,4067.1,4385.549
94,49014.1,50357.297,4067.1,4389.711499999999
95,49014.1,50340.573,4067.1,4396.0785
96,49014.1,50324.1595,4067.1,4395.282999999999
97,49014.1,50278.3855,4067.1,4407.162
98,49014.1,50273.383499999996,4067.1,4379.608499999999
99,49014.1,50243.6375,4067.1,4344.1855
100,49014.1,50243.6375,4067.1,4391.607
101,49014.1,50216.3925,4067.1,4350.2365
102,49014.1,50200.431,4067.1,4352.714
103,49014.1,50190.451499999996,4067.1,4382.208
104,49014.1,50158.65899999999,4067.1,4328.8515
105,49014.1,50124.087999999996,4067.1,4319.246499999999
106,49014.1,50124.087999999996,4067.1,4345.443499999999
107,49014.1,50107.7875,4067.1,4358.6185
108,49014.1,50073.852999999996,4067.1,4354.67
109,49014.1,50069.085,4067.1,4353.5355
110,49014.1,50002.2135,4067.1,4331.627
111,49014.1,49991.0945,4067.1,4310.843
112,49014.1,49968.5185,4067.1,4338.393999999999
113,49014.1,49951.63649999999,4067.1,4362.223
114,49014.1,49943.287000000004,4067.1,4338.166499999999
115,49014.1,49932.626,4067.1,4333.353
116,49014.1,49932.626,4067.1,4314.5355
117,49014.1,49928.87649999999,4067.1,4332.91
118,49014.1,49927.0755,4067.1,4320.235
