iter,best,mean
1,30777.716729295083,46932.990343966616
2,30777.716729295083,37891.54612644565
3,30777.716729295083,35094.648848140205
4,30777.716729295083,32823.995581602314
5,30777.716729295083,30891.491552464453
6,30777.716729295083,30777.716729295087
7,30777.716729295083,30777.716729295087
8,30777.716729295083,30777.716729295087
9,30777.716729295083,30777.716729295087
10,30777.716729295083,30777.716729295087
11,30777.716729295083,30777.716729295087
12,30777.716729295083,30777.716729295087
13,30777.716729295083,30777.716729295087
14,30777.716729295083,30777.716729295087
15,30777.716729295083,30777.716729295087
16,30777.716729295083,30777.716729295087
17,30777.716729295083,30777.716729295087
18,30777.716729295083,30777.716729295087
19,30777.716729295083,30777.716729295087
20,30777.716729295083,30777.716729295087
21,30777.716729295083,30777.716729295087
22,30777.716729295083,30777.716729295087
23,30777.716729295083,30777.716729295087
24,30777.716729295083,30777.716729295087
25,30777.716729295083,30777.716729295087
26,30777.716729295083,30777.716729295087
27,30777.716729295083,30777.716729295087
28,30777.716729295083,30777.716729295087
29,30777.716729295083,30777.716729295087
30,30777.716729295083,30777.716729295087
31,30777.716729295083,30777.716729295087
32,30777.716729295083,30777.716729295087
33,30777.716729295083,30777.716729295087
34,30777.716729295083,30777.716729295087
35,30777.716729295083,30777.716729295087
36,30777.716729295083,30777.716729295087
37,30777.716729295083,30777.716729295087
38,30777.716729295083,30777.716729295087
39,30777.716729295083,30777.716729295087
40,30777.716729295083,30777.716729295087
41,30777.716729295083,30777.716729295087
42,30777.716729295083,30777.716729295087
43,30777.716729295083,30777.716729295087
44,30777.716729295083,30777.716729295087
45,30777.716729295083,30777.716729295087
46,30777.716729295083,30777.716729295087
47,30777.716729295083,30777.716729295087
48,30777.716729295083,30777.716729295087
49,30777.716729295083,30777.716729295087
50,30777.716729295083,30777.716729295087
51,30777.716729295083,30777.716729295087
52,30777.716729295083,30777.716729295087
53,30777.716729295083,30777.716729295087
54,30777.716729295083,30777.716729295087
55,30777.716729295083,30777.716729295087
56,30777.716729295083,30777.716729295087
57,30777.716729295083,30777.716729295087
58,30777.716729295083,30777.716729295087
59,30777.716729295083,30777.716729295087
60,30777.716729295083,30777.716729295087
61,30777.716729295083,30777.716729295087
62,30777.716729295083,30777.716729295087
63,30777.716729295083,30777.716729295087
64,30777.716729295083,30777.716729295087
65,30777.716729295083,30777.716729295087
66,30777.716729295083,30777.716729295087
67,30777.716729295083,30777.716729295087
68,30777.716729295083,30777.716729295087
69,30777.716729295083,30777.716729295087
70,30777.716729295083,30777.716729295087
71,30777.716729295083,30777.716729295087
72,30777.716729295083,30777.716729295087
73,30777.716729295083,30777.716729295087
74,30777.716729295083,30777.716729295087
