iter,best,mean
1,24680.051654056548,34545.097726853775
2,24680.051654056548,27649.597491982357
3,24680.051654056548,26178.812579220066
4,24680.051654056548,25465.559483477195
5,24680.051654056548,25060.5189836259
6,24680.051654056548,24715.102806686493
7,24680.051654056548,24680.051654056548
8,24680.051654056548,24680.051654056548
9,24680.051654056548,24680.051654056548
10,24680.051654056548,24680.051654056548
11,24680.051654056548,24680.051654056548
12,24680.051654056548,24680.051654056548
13,24680.051654056548,24680.051654056548
14,24680.051654056548,24680.051654056548
15,24680.051654056548,24680.051654056548
16,24680.051654056548,24680.051654056548
17,24680.051654056548,24680.051654056548
