iter,best,mean
0,11217.585559158699,14001.934206850925
1,11217.585559158699,11821.245865112343
2,11217.585559158699,11327.643031126072
3,11217.585559158699,11217.5855591587
4,11217.585559158699,11217.5855591587
5,11217.585559158699,11217.5855591587
6,11217.585559158699,11217.5855591587
7,11217.585559158699,11217.5855591587
8,11217.585559158699,11217.5855591587
9,11217.585559158699,11217.5855591587
10,11217.585559158699,11217.5855591587
11,11217.585559158699,11217.5855591587
12,11217.585559158699,11217.5855591587
13,11217.585559158699,11217.5855591587
14,11217.585559158699,11217.5855591587
15,11217.585559158699,11217.5855591587
