iter,best,mean
0,9107.463984902673,10958.788633920201
1,9107.463984902673,9541.956620797828
2,9107.463984902673,9363.131469295064
3,9107.463984902673,9308.488099659984
4,9107.463984902673,9205.053178868695
5,9107.463984902673,9107.463984902673
6,9107.463984902673,9107.463984902673
7,9107.463984902673,9107.463984902673
8,9107.463984902673,9107.463984902673
9,9107.463984902673,9107.463984902673
10,9107.463984902673,9107.463984902673
11,9107.463984902673,9107.463984902673
12,9107.463984902673,9107.463984902673
13,9107.463984902673,9107.463984902673
14,9107.463984902673,9107.463984902673
15,9107.463984902673,9107.463984902673
16,9107.463984902673,9107.463984902673
17,9107.463984902673,9107.463984902673
