iter,best,mean
1,395402.99762157706,461825.622520547
2,373106.8277643676,460126.0206303183
3,393393.67346423183,462716.51853418205
4,369668.77886758174,462583.20099675684
5,357567.5993208982,468505.6663567161
6,395062.75568698836,465651.3929708714
7,392151.12068781717,460651.06089108717
8,360655.92961359693,463630.5014010795
9,406607.2876237724,465427.19424143777
10,358424.4122844941,458077.2403848625
11,406737.38572433713,461964.16692502797
12,378578.39171015687,464308.75751229905
13,399396.85235812684,465916.47490013466
14,386588.2356986987,463037.6695397637
15,405621.46251301403,465136.28460890794
16,413663.1898311895,466206.1655836599
17,399410.2366470913,456887.68849308236
18,391714.5945263198,464749.58277432504
19,383251.6324316361,458878.70995809505
20,401321.8860826456,473205.20491765003
21,382220.9111881436,469325.6940472092
22,364989.2023254785,464076.6811126516
23,405205.59562804515,466037.7119285309
24,386685.4136386477,460258.9580051632
25,407750.5309845061,466775.64207759366
26,394054.1057473879,455337.19538656954
27,370975.11007058073,457193.8306805162
28,379657.3045615969,460336.91444330325
29,389708.9518213773,470224.6299288323
30,390951.8373739191,461524.68436772266
31,372130.46739385877,456177.22438323306
32,393808.20537993143,461205.2283049174
33,376557.06669964804,456520.26653280697
34,388749.7221359421,457502.2974538125
35,384381.17115099187,462925.48817376967
36,372187.87257838633,461152.33862497314
37,414189.7669122484,463533.06362465286
38,391208.6293210892,461569.6966329681
39,371919.74558651674,465212.7060424283
40,394322.05065375014,472309.4903356673
41,374184.42752254294,459958.1072902257
42,395388.31864124275,456068.552978045
43,384093.20273216825,454268.4815269959
44,387447.36243653763,457033.33125896094
45,381671.25643768033,460254.9165247696
46,394941.6881413142,460212.37404409534
47,359578.4765127416,451895.4708137388
48,378152.39852227527,443173.739786067
49,378490.5147404136,445626.02563496307
50,371070.80336863134,448162.9759629475
51,366245.85176994314,446305.1875284547
52,395412.0296397013,443981.9950585106
53,367612.39379129605,436269.1152047517
54,368511.62199121306,428940.80932390847
55,372497.25979565433,423689.5606821068
56,353863.1804384782,417635.7425874271
57,329841.9193822359,409167.3088517539
58,343364.7143850666,417447.83644089306
59,335466.7614582384,400902.0493555223
60,329480.9534943692,395222.8169307709
61,333600.9798922786,385052.6308657003
62,335443.30154917965,391634.36725996324
63,304999.3273668988,367291.5433893156
64,302265.0103182534,364681.2358325343
65,309746.88404481305,361833.73934470507
66,296818.6078733505,358354.6564458061
67,279278.3638043117,350954.8782268368
68,293208.3655541356,344872.34728592593
69,286975.14625332254,340208.2397092229
70,292100.61382281047,342712.1247378407
71,297782.328000317,335166.6348013103
72,293975.1283429484,338186.8233728756
73,285902.8653265962,329993.10022464267
74,281466.20254194335,326591.94155721774
75,285044.6999365578,326153.5488854669
76,287499.2928140277,324549.26193219
77,285004.8666108497,322785.76430713275
78,282626.57139939436,324597.01197819435
79,282642.63677347044,321944.69662118156
80,275780.0330661908,321794.4645454305
81,275780.0330661908,322497.8964692599
82,265302.5463631193,318407.91455423646
83,268925.03337080893,311322.81419742334
84,277049.9692481274,316772.05528374517
85,280451.67467511556,314069.54436027154
86,263450.7090477175,313167.08342122514
87,268675.1173807473,309348.886730502
88,266253.0528045679,313767.06771942094
89,263450.7090477175,309459.6370144416
90,278863.0951156057,311197.3962470167
91,263450.7090477175,306820.20044000633
92,268675.1173807473,305778.779255823
93,263450.7090477175,305352.0549145873
94,274061.8377763271,307470.0551693076
95,268675.1173807473,305916.58860689466
96,268675.1173807473,301775.69642851665
97,263450.7090477175,305421.1774047221
98,263450.7090477175,304572.6309002195
99,263450.7090477175,299263.0490929728
100,263450.7090477175,298252.41894922726
101,263450.70904771757,301573.2611315123
102,266253.0528045679,300245.91018118494
103,263450.7090477175,298089.2046236778
104,263450.70904771757,298552.8361650276
105,263450.7090477175,296498.3474348585
106,266253.0528045679,296952.44494110893
107,266253.0528045679,301093.2253076048
108,263450.7090477175,297505.1299265425
109,263450.7090477175,299577.89653127413
110,263450.70904771757,295740.42442897824
111,263450.7090477175,293396.2888230914
112,263450.7090477175,293698.9354513077
113,263450.7090477175,296035.2878909931
114,266253.0528045679,296400.1220956213
115,263450.70904771757,293637.6416674728
116,263450.70904771757,298441.9287989977
117,263450.7090477175,294181.33989551716
118,263450.7090477175,295014.8617969869
119,263450.7090477175,295093.29139136616
120,268675.1173807473,295160.7818126417
121,263450.7090477175,295526.85234342713
122,263450.7090477175,293863.4059370992
123,268757.41175133083,298109.84389172046
124,263450.7090477175,296080.722834929
125,263450.7090477175,296554.1794694473
126,266253.0528045679,299223.0159787783
127,263450.70904771757,295707.1253219104
128,268675.1173807473,295523.0707615607
129,263450.7090477175,299067.0555602206
130,263450.7090477175,296976.1158287058
131,263450.7090477175,300308.05233783094
132,263450.7090477175,295887.2033900362
133,263450.70904771757,294676.8940397175
134,263450.70904771757,295331.1946369175
135,268675.1173807473,294791.07127975946
136,263450.7090477175,292672.67858623544
137,263450.7090477175,295028.48488198
138,268675.1173807473,297069.49163030274
139,263450.7090477175,294214.6202968745
140,263450.7090477175,299093.7575974601
141,263450.7090477175,295210.64418160456
142,263450.70904771757,295334.28707235295
143,263450.7090477175,296789.2016665804
144,268675.1173807473,298387.4111224526
145,263450.70904771757,299774.144881074
146,263450.7090477175,297280.4103258993
147,263450.7090477175,295087.18739634915
148,268675.1173807473,294549.65766117926
149,263450.7090477175,293412.79059184674
150,263450.70904771757,298524.0777535111
151,263450.7090477175,294798.5975323281
152,263450.7090477175,295085.97687331977
153,263450.7090477175,293942.63487723446
154,263450.7090477175,296332.7611757465
155,266253.0528045679,294122.8923635074
156,263450.70904771757,295034.6471798003
157,268675.1173807474,296064.2678332139
158,263450.70904771757,294250.50504396687
159,268675.1173807474,294018.2618938226
160,263450.7090477175,296531.3100351208
161,263450.7090477175,296687.17641463445
162,263450.70904771757,297407.2463040901
163,266253.0528045679,297225.32389392465
164,263450.70904771757,297997.6737085472
165,263450.70904771757,297052.23379006237
166,263450.7090477175,295308.6279672642
167,263450.70904771757,294926.2362690659
168,263450.7090477175,296483.6078001751
169,263450.7090477175,298844.10198813886
170,266253.0528045679,296997.97746036114
171,263450.7090477175,295387.57862242253
172,263450.70904771757,295775.18681614473
173,263450.70904771757,298922.945547009
174,270027.400683283,300619.5633915575
175,263450.7090477175,296387.3691705111
176,263450.7090477175,295390.625925284
177,263450.70904771757,297979.33534246834
178,263450.70904771757,298764.48887835647
179,263450.70904771757,295452.9458958003
180,263450.7090477175,297353.286269326
181,263450.7090477175,298161.38298756786
182,263450.7090477175,295024.60673759034
183,268675.1173807474,297653.58558760857
184,263450.70904771757,297136.3357643226
