iter,best,mean
0,556.0,1263.605
1,556.0,654.0
2,556.0,609.94
3,556.0,586.375
4,554.0,573.36
5,554.0,567.7
6,554.0,565.435
7,554.0,562.325
8,554.0,560.115
9,554.0,558.875
10,553.0,557.935
11,551.0,556.745
12,551.0,555.8
13,544.0,555.385
14,544.0,554.845
15,544.0,554.12
16,544.0,552.975
17,544.0,551.765
18,544.0,550.55
19,544.0,550.29
20,544.0,549.94
21,544.0,549.395
22,544.0,548.615
23,543.0,547.515
24,543.0,546.275
25,543.0,544.77
26,543.0,544.33
27,543.0,544.095
28,543.0,543.93
29,543.0,543.875
30,542.0,543.76
31,542.0,543.605
32,542.0,543.345
33,542.0,542.95
34,540.0,542.93
35,540.0,542.855
36,540.0,542.77
37,540.0,542.61
38,540.0,542.54
39,540.0,542.385
40,540.0,542.13
41,540.0,541.795
42,540.0,541.6
43,540.0,541.51
44,540.0,541.33
45,540.0,541.11
