iter,best,mean
0,545.0,691.425
1,545.0,618.89
2,525.0,600.53
3,525.0,589.115
4,525.0,579.455
5,525.0,570.405
6,525.0,565.445
7,525.0,560.565
8,524.0,556.295
9,524.0,552.745
10,519.0,548.68
11,519.0,545.765
12,519.0,543.165
13,519.0,540.825
14,519.0,539.205
15,519.0,536.95
16,519.0,535.1
17,519.0,533.135
18,519.0,531.92
19,519.0,530.74
20,516.0,529.23
21,516.0,526.93
22,516.0,525.405
23,516.0,523.2
24,516.0,520.84
25,516.0,519.705
26,516.0,519.485
27,516.0,519.16
28,516.0,518.68
29,516.0,517.92
30,516.0,516.4
31,516.0,516.0
