iter,best,mean
0,566.0,795.655
1,566.0,654.29
2,566.0,628.67
3,566.0,616.57
4,558.0,605.16
5,558.0,598.795
6,558.0,594.16
7,545.0,588.855
8,545.0,583.875
9,545.0,580.27
10,545.0,576.35
11,545.0,573.245
12,545.0,570.975
13,545.0,568.76
14,545.0,566.49
15,545.0,564.7
16,545.0,562.4
17,545.0,559.9
18,545.0,556.815
19,541.0,553.44
20,541.0,549.41
21,541.0,546.95
22,541.0,546.02
23,541.0,545.41
24,541.0,544.94
25,541.0,544.94
26,541.0,544.94
27,541.0,544.94
28,541.0,544.89
29,541.0,544.82
30,541.0,544.75
31,541.0,544.65
32,541.0,544.56
33,541.0,544.29
34,541.0,543.97
35,541.0,543.35
36,541.0,542.48
37,541.0,542.17
38,541.0,541.83
39,541.0,541.29
40,541.0,541.0
41,541.0,541.0
42,541.0,541.0
43,541.0,541.0
44,541.0,541.0
45,541.0,541.0
46,541.0,541.0
47,541.0,541.0
48,541.0,541.0
49,541.0,541.0
50,541.0,541.0
51,541.0,541.0
52,541.0,541.0
53,541.0,541.0
54,541.0,541.0
55,541.0,541.0
56,541.0,541.0
57,541.0,541.0
58,541.0,541.0
59,541.0,541.0
60,541.0,541.0
61,541.0,541.0
62,541.0,541.0
63,541.0,541.0
64,541.0,541.0
