scorer,sum_final_time,sum_final_distance,algorithm_id,config_name,decode_mode,run_index,sum_final_cost,output_dir,algorithm_name,clusters
distance,0.0,109476.7940562734,nsga2,nsga2_rl,minimize,0,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run1,nsga2_rl,7
distance,0.0,116568.12271168764,nsga2,nsga2_rl,minimize,1,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run2,nsga2_rl,7
distance,0.0,109506.10625610547,nsga2,nsga2_rl,minimize,2,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run3,nsga2_rl,7
distance,0.0,106831.76709049896,nsga2,nsga2_rl,minimize,3,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run4,nsga2_rl,7
distance,0.0,106653.43329363626,nsga2,nsga2_rl,minimize,4,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run5,nsga2_rl,7
distance,0.0,106543.48575644424,nsga2,nsga2_rl,minimize,5,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run6,nsga2_rl,7
distance,0.0,114775.6575479748,nsga2,nsga2_rl,minimize,6,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run7,nsga2_rl,7
distance,0.0,113189.6313311724,nsga2,nsga2_rl,minimize,7,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run8,nsga2_rl,7
distance,0.0,116376.43914154488,nsga2,nsga2_rl,minimize,8,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run9,nsga2_rl,7
distance,0.0,111958.32023839084,nsga2,nsga2_rl,minimize,9,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run10,nsga2_rl,7
distance,0.0,111706.28531145857,nsga2,nsga2_rl,minimize,10,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run11,nsga2_rl,7
distance,0.0,109767.66104947151,nsga2,nsga2_rl,minimize,11,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run12,nsga2_rl,7
distance,0.0,119114.35706505083,nsga2,nsga2_rl,minimize,12,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run13,nsga2_rl,7
distance,0.0,111155.66722615527,nsga2,nsga2_rl,minimize,13,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run14,nsga2_rl,7
distance,0.0,106491.4503264111,nsga2,nsga2_rl,minimize,14,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run15,nsga2_rl,7
distance,0.0,112936.90986533662,nsga2,nsga2_rl,minimize,15,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run16,nsga2_rl,7
distance,0.0,110819.56281851717,nsga2,nsga2_rl,minimize,16,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run17,nsga2_rl,7
distance,0.0,107351.51160961814,nsga2,nsga2_rl,minimize,17,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run18,nsga2_rl,7
distance,0.0,119060.41059078733,nsga2,nsga2_rl,minimize,18,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run19,nsga2_rl,7
distance,0.0,111894.49025599184,nsga2,nsga2_rl,minimize,19,0.0,/home/raka/NT-NSGA-II/results/GIB_NSGA2_RL_2secs/nsga2_rl_run20,nsga2_rl,7
