algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
ntnsga2,0,185179,2748.0,2243991.0,197.91577265337148,30.020310401916504,1,1.0
nsga2,0,185179,2703.0,2208486.0,195.5989669850576,30.2630631190259,1,
ga,0,185179,3381.0,2743428.0,242.54409403138652,30.570771872997284,1,
aco,0,185179,3309.0,2686620.0,238.36422874104727,30.067109409021214,1,
pso,0,185179,2826.0,2305533.0,203.0756095791229,30.37180119100958,1,
ntnsga2,1,833905,2694.0,2201385.0,193.3211010935708,31.08090090751648,1,1.0
nsga2,1,833905,2767.0,2258982.0,200.0636934428339,30.67888560600113,1,
ga,1,833905,3169.0,2576160.0,228.9457500826414,30.213643388007767,1,
aco,1,833905,3299.0,2678730.0,238.18113534028905,30.142462046002038,1,
pso,1,833905,2826.0,2305533.0,205.14466372883166,30.34660615597386,1,
ntnsga2,2,406252,2703.0,2208486.0,194.22327997394427,30.133370876312256,1,1.0
nsga2,2,406252,2638.0,2157201.0,189.1579967186248,30.289285008911975,1,
ga,2,406252,3170.0,2576949.0,228.67988102198194,30.301105451071635,1,
aco,2,406252,3406.0,2763153.0,244.90744236494595,30.031480353092775,1,
pso,2,406252,2826.0,2305533.0,203.25765910717286,30.16234129690565,1,
ntnsga2,3,354354,2659.0,2173770.0,190.6848905786118,30.382433652877808,1,1.0
nsga2,3,354354,2715.0,2217954.0,195.74003426012618,30.476798914023675,1,
ga,3,354354,3130.0,2545389.0,223.81771264321256,30.586709353956394,1,
aco,3,354354,3655.0,2959614.0,263.19621599530797,30.092530551017262,1,
pso,3,354354,2826.0,2305533.0,203.898844034,30.22794411308132,1,
ntnsga2,4,366912,2702.0,2207697.0,194.3158507155601,30.922269344329834,1,1.0
nsga2,4,366912,2752.0,2247147.0,197.29216435891254,30.48343689192552,1,
ga,4,366912,3198.0,2599041.0,231.74043498087102,30.509626104030758,1,
aco,4,366912,3726.0,3015633.0,266.3765911771141,30.15791463293135,1,
pso,4,366912,2826.0,2305533.0,204.36762875804544,30.5210229200311,1,
ntnsga2,5,876953,2684.0,2193495.0,193.26643250640217,30.761356830596924,1,1.0
nsga2,5,876953,2686.0,2195073.0,193.08279367196587,30.60500163398683,1,
ga,5,876953,3176.0,2581683.0,229.72564056231974,30.15940488409251,1,
aco,5,876953,3353.0,2721336.0,241.66782645929757,30.187889873981476,1,
pso,5,876953,2826.0,2305533.0,201.94568068369043,30.366652491036803,1,
ntnsga2,6,504436,2682.0,2191917.0,193.59305696856507,30.328564882278442,1,1.0
nsga2,6,504436,2743.0,2240046.0,197.34903965809107,30.186896522995085,1,
ga,6,504436,3169.0,2576160.0,229.1304566667666,30.54941873799544,1,
aco,6,504436,3336.0,2707923.0,240.33716788552687,30.28652747499291,1,
