iter,best,mean,best_route_time,mean_route_time
0,3099.0,11830.233333333334,223.4536992581493,852.9579850207301
1,3099.0,3454.0666666666666,223.4536992581493,249.2123134441058
2,3042.0,3320.766666666667,219.7548216767582,239.2454178720655
3,2889.0,3178.2,208.57365912182087,229.09911807244413
4,2889.0,3110.9333333333334,208.3892909130143,224.6560942955652
5,2806.0,3051.766666666667,203.08531436285438,220.59940221716812
6,2755.0,2988.9,199.50883316573743,215.73954478470552
7,2741.0,2959.9333333333334,197.86660522310822,213.79297208513856
8,2741.0,2933.0,197.86660522310822,211.85939334861146
9,2741.0,2879.9333333333334,197.86660522310822,208.21533642790428
10,2741.0,2849.1,197.86660522310822,206.1612757557107
11,2741.0,2802.6666666666665,197.86660522310822,202.74846396308124
12,2741.0,2754.5333333333333,197.86660522310822,199.45429680873232
13,2741.0,2754.266666666667,197.86660522310822,199.36560750160322
14,2722.0,2751.8,196.89707424514313,199.107535326538
15,2686.0,2749.133333333333,194.1181102491718,198.89562812143075
16,2686.0,2742.5666666666666,194.1181102491718,198.29702973453763
17,2686.0,2721.2,194.1181102491718,196.63262697207492
18,2675.0,2691.6,193.37254106679865,194.46134466831452
19,2673.0,2684.766666666667,193.1256423574536,194.0262718569353
20,2673.0,2683.233333333333,193.1256423574536,193.91781111559783
21,2673.0,2680.6,193.1256423574536,193.73126653732433
22,2673.0,2674.6666666666665,193.1256423574536,193.3344833165327
23,2664.0,2673.9333333333334,192.34545979439287,193.26476548209672
24,2662.0,2672.266666666667,192.09856108504783,193.0875051750698
25,2662.0,2670.5333333333333,192.09856108504783,192.89892287643968
26,2662.0,2668.4333333333334,192.09856108504783,192.6916928798008
27,2662.0,2664.866666666667,192.09856108504783,192.34394507844047
28,2662.0,2663.266666666667,192.09856108504783,192.25229114243382
29,2658.0,2662.3333333333335,191.8524443037761,192.14796689118597
30,2657.0,2661.7,191.71210235189398,192.07747523456692
31,2657.0,2661.266666666667,191.71210235189398,192.048185491377
32,2657.0,2660.5333333333333,191.71210235189398,191.99780989770625
33,2657.0,2659.5666666666666,191.71210235189398,191.93005510771317
34,2653.0,2657.633333333333,191.46598557062225,191.78539386497903
35,2652.0,2656.9,191.38834471925492,191.7147716224351
36,2652.0,2656.233333333333,191.38834471925492,191.6548254604899
37,2652.0,2655.1,191.38834471925492,191.5821385125132
38,2652.0,2654.0333333333333,191.38834471925492,191.50835151466987
39,2652.0,2652.6,191.23805477566447,191.42991956528897
40,2650.0,2652.133333333333,191.23805477566447,191.38980654211963
41,2650.0,2651.866666666667,191.23805477566447,191.3652216892238
42,2650.0,2651.6666666666665,191.23805477566447,191.38253683460422
43,2650.0,2651.4666666666667,191.23805477566447,191.39043444024153
44,2650.0,2651.0666666666666,191.23805477566447,191.4012199867298
45,2649.0,2650.5666666666666,191.26252016042667,191.40781138125712
46,2649.0,2650.0,191.26252016042667,191.4135127838537
47,2646.0,2649.6666666666665,191.17110734649276,191.38248731654468
48,2646.0,2649.4333333333334,191.17110734649276,191.34638972416587
49,2646.0,2648.866666666667,191.17110734649276,191.26673957065364
50,2646.0,2648.5,191.17110734649276,191.24728469143776
51,2640.0,2647.7,190.97575801649043,191.22119331918
52,2640.0,2647.1,190.97575801649043,191.20291075639318
53,2638.0,2645.4333333333334,190.76224485580005,191.12663019586523
54,2638.0,2643.9,190.76224485580005,191.05888954989916
55,2638.0,2642.1666666666665,190.76224485580005,190.9572771745592
56,2638.0,2639.233333333333,190.76224485580005,190.8346525032836
57,2628.0,2637.4333333333334,190.23682370234462,190.7355451108143
58,2628.0,2637.2,190.23682370234462,190.72369382156657
59,2628.0,2636.633333333333,190.23682370234462,190.69430502407414
60,2628.0,2634.8333333333335,190.23682370234462,190.59803241239746
61,2628.0,2632.5666666666666,190.23682370234462,190.47232606240115
62,2628.0,2629.2,190.23682370234462,190.29251183669547
63,2628.0,2628.0,190.23682370234462,190.23682370234465
64,2628.0,2628.0,190.23682370234462,190.23682370234465
65,2628.0,2628.0,190.23682370234462,190.23682370234465
66,2628.0,2628.0,190.23682370234462,190.23682370234465
67,2628.0,2628.0,190.23682370234462,190.23682370234465
68,2628.0,2628.0,190.23682370234462,190.23682370234465
69,2628.0,2628.0,190.23682370234462,190.23682370234465
