iter,best,mean
1,1107664.7412073421,1277874.0620620425
2,1090375.3695717016,1254105.3211056243
3,1021314.6554002379,1227016.1157462704
4,1014754.5176949966,1206502.9715040103
5,987150.2689612997,1187326.147382193
6,987150.2689612997,1171310.721173298
7,973825.6889989991,1143496.7885313733
8,963673.9867199258,1132904.7068956257
9,953968.0274682178,1123996.674858955
10,953968.0274682178,1099921.819401425
11,944693.8611253636,1099649.9338545573
12,918590.792707864,1084012.3826977087
13,918590.792707864,1066459.6881515337
14,918590.792707864,1066633.7981815422
15,911051.7665900608,1066744.7686336534
16,911051.7665900608,1063595.6171756212
17,909268.1731641254,1046976.9466240808
18,903986.4944037728,1022561.4149853042
19,881139.8240334312,1010939.8912269251
20,881139.8240334312,997167.8909850321
21,881139.8240334312,1002766.1782233405
22,881139.8240334312,995004.9563241233
23,868511.549477091,991868.05999801
24,868511.549477091,992317.3116399404
25,865620.0819216862,1005325.5975107843
26,865620.0819216862,1011094.2107183388
27,862588.6965825501,1008923.1660349155
28,862588.6965825501,1019120.482418559
29,862588.6965825501,1024438.0898749648
30,862319.1279939914,1021261.6479514523
31,858793.1443515662,1001864.8860844016
32,857450.1624769631,986216.8492077909
33,838275.0284516017,978535.8794926369
34,838275.0284516017,975873.6525600997
35,838275.0284516017,981560.4532300943
36,835977.3717825508,969417.8893016295
37,835977.3717825508,984837.6739581269
38,835977.3717825508,980696.0499632823
39,834929.0969007461,987410.3277666912
40,834929.0969007461,975889.2738070702
41,834929.0969007461,977476.2511629347
42,832312.3064643568,985520.1880541194
43,832312.3064643568,996408.6587249563
44,831908.0916612442,991438.6127459168
45,831908.0916612442,992163.511946551
46,817991.2174488807,990119.5481033572
47,817991.2174488807,988323.6292098364
48,817991.2174488807,990842.9579552654
49,817991.2174488807,986901.1878022337
50,806309.4725924948,986694.7986511185
51,806309.4725924948,988318.1341377182
52,806309.4725924948,995565.0051352831
53,806309.4725924948,1006297.2488506021
54,806309.4725924948,990266.8608494587
55,805447.5021223223,978382.6523178321
56,805447.5021223223,958229.7782744187
57,805447.5021223223,948780.03413204
58,770586.2677400823,941123.0653588084
59,770586.2677400823,937958.6799569263
60,769894.0106209342,962093.4772876777
61,767982.273307286,959206.2316573462
62,767982.273307286,985840.5535081419
63,767982.273307286,982908.0914150125
64,767751.1217152259,993255.7905130754
65,755118.1391172054,975405.0035518213
66,755118.1391172054,964315.3471225635
67,755118.1391172054,960266.0437977274
68,755118.1391172054,946611.7543246599
69,746846.1677865577,936950.1535401924
70,744391.174212197,909219.0829773155
71,736179.3049090906,912245.4912784572
72,736179.3049090906,884535.8637026857
73,736179.3049090906,886084.1147960384
74,736179.3049090906,869837.7163883529
75,736179.3049090906,872764.8134852186
76,734553.6328039874,870431.9052754324
77,730591.7495655688,874210.8950503884
78,730591.7495655688,868064.6405474787
79,715705.4027057012,873672.8657404581
80,715705.4027057012,919321.2002771181
81,711625.5256671649,906294.6797400581
82,693585.3320867729,870564.349385647
83,693585.3320867729,858100.6863891074
84,693585.3320867729,829319.8146499655
85,692464.2075518899,826920.8120901539
86,691020.9044515117,844901.095189733
87,686143.0135389516,825887.9642650903
88,686143.0135389516,809448.8557643162
89,683431.0389798959,774858.8899766379
90,677723.675148829,794989.9675557455
91,677723.675148829,790325.8921142298
92,676440.127018784,779833.0621425175
93,669453.4054323701,772637.183282623
94,668489.4584727208,753576.3945216505
95,660525.064961594,746663.3030398823
96,659983.5416643916,736267.2234376147
97,659983.5416643916,725266.9076367525
98,659983.5416643916,758172.8121413273
99,656847.3943209066,760776.0479957964
100,651553.2707569001,759837.8731915073
101,651553.2707569001,771031.6815321282
102,646867.0325844638,800433.4523624555
103,646867.0325844638,773442.0082110274
104,646144.9160978793,777966.0696491292
105,643830.7835962415,762219.2389978621
106,636876.5480570495,737676.2320523311
107,633713.5139162954,744084.9276424504
108,633713.5139162954,759930.5373114385
109,629886.3771453566,780310.3769569489
110,629886.3771453566,803159.0778394527
111,627525.8086823829,779943.7342096567
112,627525.8086823829,785565.537658082
113,627525.8086823829,812015.9100744389
114,627525.8086823829,804545.1958875307
115,627525.8086823829,792826.637178191
116,624772.0909434112,809693.2243483462
117,619957.3398835368,800795.1152087408
118,619957.3398835368,808860.8173051666
119,619957.3398835368,815733.9774921932
120,619957.3398835368,822439.5383125063
121,619957.3398835368,846387.4412562283
122,619957.3398835368,823095.2354463788
123,619957.3398835368,806640.6822673349
124,619917.5203808058,777542.9608129294
125,618319.2215865345,744318.6811067775
126,615756.5639792761,749339.7045430819
127,615634.6009454348,744684.6360203059
128,615634.6009454348,762169.1077066445
129,611941.5605745479,745516.3186747929
130,607330.7232356834,718230.5593864807
131,607330.7232356834,705259.7568813842
132,601025.6165422916,704990.4951561886
133,601025.6165422916,705954.9295851397
134,601025.6165422916,701448.4164688071
135,600037.3302287012,692580.8298393817
136,600037.3302287012,714888.0658788437
137,596870.5752438729,713168.3627266607
138,596870.5752438729,715783.2250949277
139,594844.2686995538,709186.0060684005
140,590871.1934186177,698877.2818842924
141,590871.1934186177,676349.1430422231
142,585326.2139384841,698980.8803499991
143,585326.2139384841,724308.1404317375
144,585326.2139384841,734477.3190886182
145,582507.7085919498,739493.2215276853
146,582507.7085919498,767794.9645391416
147,582507.7085919498,748327.2505440239
148,582507.7085919498,726564.7646501883
149,582507.7085919498,735698.9606641524
150,568062.9016839857,760825.7288683521
151,568062.9016839857,771149.4472973194
152,568062.9016839857,775571.1490822816
153,568062.9016839857,742373.3340536205
154,568062.9016839857,759322.337301389
155,568062.9016839857,721568.0511472845
156,568062.9016839857,737165.3912022257
157,568062.9016839857,751554.5301194432
158,568062.9016839857,749640.4806521735
159,568062.9016839857,748937.4497781221
160,568062.9016839857,765120.5428760982
161,547647.3894157078,794717.3696152361
162,547647.3894157078,800220.536938079
163,547647.3894157078,805638.9894963579
164,547647.3894157078,820749.8581685789
165,547647.3894157078,802336.7976649542
166,547647.3894157078,818614.8579457167
167,547647.3894157078,809581.5021874539
168,547647.3894157078,783018.5350627899
169,547647.3894157078,767508.3281391292
170,547647.3894157078,732660.389406538
171,545387.5308093039,766853.5478179432
172,543587.8189882016,770954.7358737028
173,543587.8189882016,744630.1222501971
174,543587.8189882016,803600.737390948
175,543587.8189882016,796986.9190711945
176,541655.2670820546,784614.0358397212
177,541655.2670820546,795687.5537523244
178,541655.2670820546,853124.432838649
179,541655.2670820546,821831.2891335064
180,541655.2670820546,823414.248849582
181,541655.2670820546,828013.8450736515
182,541655.2670820546,821039.6937946968
183,541655.2670820546,832384.6667879862
184,535377.8632135993,834579.5206543988
185,535377.8632135993,778136.6483561097
186,535377.8632135993,787172.2720057392
187,535377.8632135993,765131.4791527663
188,535377.8632135993,741380.063362213
189,532654.6111502522,730411.7261134915
190,532654.6111502522,718743.9929770196
191,532654.6111502522,693982.6527811952
192,531110.4880551563,697607.2081391817
193,531110.4880551563,717153.9524329193
194,531110.4880551563,716089.3969691962
195,531110.4880551563,744454.1555710848
196,531110.4880551563,761390.5401641648
197,531110.4880551563,791570.2432697845
198,531110.4880551563,772270.2593258172
199,531110.4880551563,776489.924040508
200,531110.4880551563,749696.8408480571
201,531110.4880551563,757881.1379895111
202,530938.7231202951,746117.6385637047
203,530938.7231202951,764080.0572976534
204,530938.7231202951,769104.1235236981
205,530938.7231202951,769257.1376608028
206,526983.6563198474,766786.2357395071
207,526983.6563198474,762556.8204239412
208,525207.4468377037,765217.6586495542
209,525207.4468377037,749393.7200208636
210,525207.4468377037,749586.21214011
211,525207.4468377037,754529.5145115672
212,523549.15471325,724581.7260685913
213,523549.15471325,701563.4479999812
214,521266.39852714416,667126.1387632439
215,521266.39852714416,649787.6820407147
216,519488.31126318657,648055.224025754
217,519488.31126318657,625694.1243611015
218,519488.31126318657,623874.5004051826
219,510776.923405072,608467.0604031541
220,510776.923405072,582879.8405316655
221,510776.923405072,582561.1652276049
222,510776.923405072,617108.3224991157
223,510776.923405072,608330.0474957932
224,510330.1410730924,602720.6501870498
225,510330.1410730924,617883.3028966903
226,510330.1410730924,625088.2829949528
227,510330.1410730924,652053.1759942787
228,510330.1410730924,636766.9430380486
229,509433.38159585564,644424.5320211179
230,509433.38159585564,640202.7435043668
231,509433.38159585564,672417.3809079909
232,509433.38159585564,687948.6271080794
233,505864.8614999635,679622.0825508971
234,504267.2809449391,687453.5136863118
