iter,best,mean
0,34964.472489834734,37267.39396410849
1,34964.472489834734,35770.93812242168
2,34964.472489834734,35066.74274654835
3,34964.472489834734,34964.47248983475
4,34964.472489834734,34964.47248983474
5,34964.472489834734,34964.47248983474
6,34964.472489834734,34964.47248983474
7,34964.472489834734,34964.47248983474
8,34964.472489834734,34964.47248983474
9,34964.472489834734,34964.47248983474
10,34964.472489834734,34964.47248983474
11,34964.472489834734,34964.47248983474
12,34964.472489834734,34964.47248983474
13,34964.472489834734,34964.47248983474
14,34964.472489834734,34964.47248983474
