iter,best,mean
1,34803.02082612208,37373.964859404725
2,34803.02082612208,35137.284783438714
3,34803.02082612208,34803.02082612208
4,34803.02082612208,34803.02082612208
5,34803.02082612208,34803.02082612208
6,34803.02082612208,34803.02082612208
7,34803.02082612208,34803.02082612208
8,34803.02082612208,34803.02082612208
9,34803.02082612208,34803.02082612208
10,34803.02082612208,34803.02082612208
11,34803.02082612208,34803.02082612208
12,34803.02082612208,34803.02082612208
13,34803.02082612208,34803.02082612208
14,34803.02082612208,34803.02082612208
15,34803.02082612208,34803.02082612208
16,34803.02082612208,34803.02082612208
17,34803.02082612208,34803.02082612208
18,34803.02082612208,34803.02082612208
