iter,best,mean
0,15897.486744805085,19552.422818405976
1,15897.486744805085,16914.035365224387
2,15897.486744805085,16238.732500052107
3,15897.486744805085,16066.060494662373
4,15897.486744805085,15933.87010315933
5,15897.486744805085,15897.486744805086
6,15897.486744805085,15897.486744805086
7,15897.486744805085,15897.486744805086
8,15897.486744805085,15897.486744805086
9,15897.486744805085,15897.486744805086
10,15897.486744805085,15897.486744805086
11,15897.486744805085,15897.486744805086
12,15897.486744805085,15897.486744805086
13,15897.486744805085,15897.486744805086
14,15897.486744805085,15897.486744805086
