iter,best,mean
1,17286.42500230639,22871.92747583611
2,17286.42500230639,18686.026108692822
3,17286.42500230639,18005.874233082082
4,17286.42500230639,17603.87210258224
5,17286.42500230639,17438.397827849316
6,17286.42500230639,17307.359690317317
7,17286.42500230639,17286.425002306387
8,17286.42500230639,17286.425002306387
9,17286.42500230639,17286.425002306387
10,17286.42500230639,17286.425002306387
11,17286.42500230639,17286.425002306387
12,17286.42500230639,17286.425002306387
13,17286.42500230639,17286.425002306387
14,17286.42500230639,17286.425002306387
15,17286.42500230639,17286.425002306387
16,17286.42500230639,17286.425002306387
17,17286.42500230639,17286.425002306387
18,17286.42500230639,17286.425002306387
19,17286.42500230639,17286.425002306387
