iter,best,mean
0,23061.876029280458,29144.01065301847
1,23061.876029280458,24926.81785683484
2,23061.876029280458,24048.88592005511
3,23061.876029280458,23650.43861094263
4,23061.876029280458,23531.748711896962
5,23061.876029280458,23287.72702748755
6,23061.876029280458,23066.31672067671
7,23061.876029280458,23061.876029280458
8,23061.876029280458,23061.876029280458
9,23061.876029280458,23061.876029280458
10,23061.876029280458,23061.876029280458
11,23061.876029280458,23061.876029280458
12,23061.876029280458,23061.876029280458
13,23061.876029280458,23061.876029280458
14,23061.876029280458,23061.876029280458
15,23061.876029280458,23061.876029280458
16,23061.876029280458,23061.876029280458
17,23061.876029280458,23061.876029280458
18,23061.876029280458,23061.876029280458
19,23061.876029280458,23061.876029280458
20,23061.876029280458,23061.876029280458
21,23061.876029280458,23061.876029280458
22,23061.876029280458,23061.876029280458
23,23061.876029280458,23061.876029280458
24,23061.876029280458,23061.876029280458
25,23061.876029280458,23061.876029280458
26,23061.876029280458,23061.876029280458
27,23061.876029280458,23061.876029280458
28,23061.876029280458,23061.876029280458
29,23061.876029280458,23061.876029280458
30,23061.876029280458,23061.876029280458
31,23061.876029280458,23061.876029280458
32,23061.876029280458,23061.876029280458
33,23061.876029280458,23061.876029280458
34,23061.876029280458,23061.876029280458
35,23061.876029280458,23061.876029280458
36,23061.876029280458,23061.876029280458
37,23061.876029280458,23061.876029280458
38,23061.876029280458,23061.876029280458
39,23061.876029280458,23061.876029280458
40,23061.876029280458,23061.876029280458
41,23061.876029280458,23061.876029280458
42,23061.876029280458,23061.876029280458
43,23061.876029280458,23061.876029280458
44,23061.876029280458,23061.876029280458
45,23061.876029280458,23061.876029280458
46,23061.876029280458,23061.876029280458
47,23061.876029280458,23061.876029280458
48,23061.876029280458,23061.876029280458
49,23061.876029280458,23061.876029280458
50,23061.876029280458,23061.876029280458
51,23061.876029280458,23061.876029280458
52,23061.876029280458,23061.876029280458
53,23061.876029280458,23061.876029280458
54,23061.876029280458,23061.876029280458
55,23061.876029280458,23061.876029280458
56,23061.876029280458,23061.876029280458
57,23061.876029280458,23061.876029280458
58,23061.876029280458,23061.876029280458
59,23061.876029280458,23061.876029280458
60,23061.876029280458,23061.876029280458
61,23061.876029280458,23061.876029280458
62,23061.876029280458,23061.876029280458
63,23061.876029280458,23061.876029280458
64,23061.876029280458,23061.876029280458
65,23061.876029280458,23061.876029280458
66,23061.876029280458,23061.876029280458
67,23061.876029280458,23061.876029280458
68,23061.876029280458,23061.876029280458
69,23061.876029280458,23061.876029280458
70,23061.876029280458,23061.876029280458
71,23061.876029280458,23061.876029280458
72,23061.876029280458,23061.876029280458
73,23061.876029280458,23061.876029280458
