iter,best,mean
1,1132987.9408720324,1227708.4587390968
2,1120968.6235118276,1205134.6872237157
3,1120968.6235118276,1172747.4378540034
4,1100980.7465234064,1143251.2078148907
5,1090374.0691697998,1128021.8686067916
6,1090374.0691697998,1117101.3893375567
7,1081575.544197491,1104808.5745194994
8,1071778.9905287975,1094618.2867291693
9,1050611.9599016898,1084729.4876062772
10,1050611.9599016898,1078574.0300835378
11,1034308.3949866401,1070511.406970449
12,1034308.3949866401,1062909.0513542942
13,1019653.4159876573,1054594.3371557712
14,1012936.2547128567,1043834.2052297047
15,1006330.938257304,1035307.539324547
16,984501.2481176003,1024357.3996006085
17,981160.1485708647,1014827.3196525386
18,972846.434174856,1007891.6100181965
19,969276.087830869,999585.2090541646
20,964078.2189153498,991444.9697773748
21,945619.284798179,980806.7266979985
22,942356.938535479,971204.4767137937
23,934430.5441844873,963248.904034032
24,930077.5642970076,952130.6380015615
25,909511.0291707389,943891.4963362059
26,909511.0291707389,936035.3252378711
27,909511.0291707389,929187.8590858191
28,880225.4311029525,921877.3347195375
29,879485.0618275092,913935.2037812811
30,879485.0618275092,904383.2483662618
31,862007.5105784289,895150.160009226
32,857356.7803296079,885081.0858331067
33,857356.7803296079,878256.5823845442
34,847940.956768633,872586.9826837534
35,817227.6735293987,866156.3512137405
36,817227.6735293987,855911.5834033914
37,817227.6735293987,848820.3274435328
38,816717.9742032314,843416.3823691821
39,802558.091866973,834909.9977801767
40,802558.091866973,827543.1005647507
41,798828.5264279776,821872.9721875022
42,795331.8627201281,814825.4273934355
43,789978.758596217,808568.7742158297
44,777773.7903512993,802845.5259960337
45,777773.7903512993,798069.1998267439
46,768897.1003325604,794502.7059179894
47,768897.1003325604,789935.3732101094
48,765966.401638399,785807.6449124173
49,750558.7722529292,780797.5101863326
50,750558.7722529292,775191.4338066165
51,745135.5887939691,769548.7292901826
52,745135.5887939691,765617.7387854062
53,745135.5887939691,759489.997127495
54,741578.7992665867,754340.8235125797
55,733932.5368485542,750181.1877296446
56,725740.875208688,745596.0494381189
57,725382.2079016797,741844.6583141431
58,719373.5799631921,738429.897966817
59,719373.5799631921,735342.2043134894
60,713996.3350925948,731835.6887555425
61,702887.6438563012,728460.4601758291
62,702887.6438563012,724303.2536121983
63,702887.6438563012,721226.948599719
64,702887.6438563012,719696.2503782613
65,697402.2975695297,717119.2729612328
66,697402.2975695297,712711.3077044012
67,691403.9684339005,709342.5356477627
68,691403.9684339005,706088.3791832281
69,686411.7019824357,703020.1535952778
70,675619.9905529796,699080.6472883751
71,675619.9905529796,695375.6306731871
72,670472.4007519059,691893.1625499586
73,670472.4007519059,689787.7161962001
74,670418.1040713767,687248.9734120014
75,669837.0421584497,684568.6641754338
76,669837.0421584497,681874.6252508181
77,655406.480929737,678294.9892354723
78,655406.480929737,676583.0954732343
79,655406.480929737,673519.0232718631
80,654195.2341703341,669857.3206621147
81,647423.1019930169,665902.6330159687
82,647423.1019930169,662881.7607385182
83,637788.1409720689,659944.0184430729
84,637788.1409720689,658058.7603578627
85,637788.1409720689,655267.9243303888
86,631079.896582736,651052.284533433
87,631079.896582736,647695.0319005349
88,621303.3191133516,644371.0371256506
89,621303.3191133516,641826.1365781599
90,621303.3191133516,639383.9596087399
91,619706.0078459114,636350.8888071085
92,619706.0078459114,633798.8962927886
93,619441.8870251164,631434.9164286811
94,615881.2439361982,628310.9478518196
95,615249.3406772807,626825.9676494199
96,606218.2851947884,623773.7069911434
97,606218.2851947884,621709.0885000671
98,605849.012903861,619412.3080427448
99,601179.9284596525,616721.6384399727
100,599300.0288076329,613950.6383769806
101,595792.0660109769,611821.3684197708
102,595792.0660109769,610038.9406385798
103,595792.0660109769,608490.8850395168
104,581278.1389059647,605807.3911215849
105,581278.1389059647,603534.0480296544
106,581278.1389059647,602437.0709773654
107,581278.1389059647,599838.8301964845
108,581278.1389059647,597492.6157110202
109,581278.1389059647,595039.6038471987
110,578893.2025344379,591886.405010177
111,578893.2025344379,590369.83957231
112,576302.6693380731,587679.2860598057
113,576302.6693380731,585928.9336747212
114,571357.2579625136,585019.3612079524
115,571357.2579625136,583148.9276936864
116,568995.6754006327,581570.3549076483
117,568587.3306980238,579381.9329190211
118,566174.1385435346,577760.121458794
119,562490.3176738044,576381.1355337413
120,543575.5907821517,574049.9230099581
121,543575.5907821517,571700.724575654
122,543575.5907821517,570200.5279745021
123,542959.2710141321,566987.6702159871
124,542959.2710141321,563417.0936767849
125,540378.38880705,558955.8635215858
126,540378.38880705,556664.9780808195
127,540378.38880705,555243.4950911159
128,537931.1813101566,552810.4950238366
129,530061.2852735001,549511.0359487762
130,530061.2852735001,546621.7136292702
131,527336.5517436833,543786.7381419062
132,526425.2957198912,541004.3550611635
133,526425.2957198912,538983.7871690672
134,525719.8975310051,536568.7215076131
135,525719.8975310051,534999.3673143166
136,525453.4395067826,533601.8951807999
137,524271.19802669756,532369.5683277592
138,515864.46453331417,530965.5677278643
139,515864.46453331417,529095.3780939685
140,515864.46453331417,527657.4805408628
141,515864.46453331417,526798.7426851054
142,515864.46453331417,525442.2111751427
143,515864.46453331417,524701.2930468204
144,515864.46453331417,524136.35061840905
145,515864.46453331417,523743.300946203
146,515864.46453331417,523452.20407257974
147,515864.46453331417,523010.0759828748
148,515864.46453331417,522252.89583108114
149,514602.58404653566,521526.43216951983
150,514602.58404653566,520959.36072316254
151,510817.11424702365,519673.4801818908
152,506453.0301886156,518653.48958523164
153,506453.0301886156,517612.52407356346
154,506453.0301886156,517026.96723815054
155,504958.87506212614,515510.2493929246
156,504958.87506212614,514513.01215840847
157,504958.87506212614,513495.02000213263
158,504958.87506212614,513188.1953658358
159,504497.3163078744,512079.483368241
160,504497.3163078744,510950.38120263326
161,497153.4052558371,510105.0616615265
162,496860.97619258513,508990.7108856849
163,496860.97619258513,508644.5761908811
164,496860.97619258513,508215.72237204283
165,496860.97619258513,507384.01778853923
166,495476.73066523514,506335.95182820567
167,487341.4872025975,504158.1326202997
168,487341.4872025975,503084.29859041964
169,487341.4872025975,501822.07240218687
170,487341.4872025975,500151.9858054153
171,487341.4872025975,499151.56574931537
172,487341.4872025975,497942.3884270335
173,487341.4872025975,497280.36812847405
174,487341.4872025975,496438.56832117774
175,487341.4872025975,495429.6762869693
176,487341.4872025975,495222.397188776
177,482812.24553217756,494097.09078628523
178,482578.6641523006,493520.8988947153
179,482578.6641523006,492894.2556521208
180,482578.6641523006,492405.9838798429
181,482578.6641523006,491736.9628824202
182,482578.6641523006,491050.7185359034
183,470779.48260597134,489728.22601887514
184,470779.48260597134,488992.23365173565
185,470779.48260597134,488359.54334134475
186,470779.48260597134,487705.87307834154
187,470779.48260597134,486903.9438887024
188,470779.48260597134,485931.23872725
189,470779.48260597134,484830.7910326986
190,466430.00765614357,483754.59764813917
191,466430.00765614357,483141.53019542986
192,466430.00765614357,482119.2673588972
193,466430.00765614357,481613.4033334055
194,466152.4542333262,479799.63309639244
195,466152.4542333262,478636.66449843714
196,466152.4542333262,477328.14916637266
197,466152.4542333262,476733.50072837586
198,460469.70545911987,474698.3127318443
199,460469.70545911987,473547.5469906482
200,460469.70545911987,472077.68071524263
201,460469.70545911987,471547.87372939655
202,460469.70545911987,470139.9175158558
203,460469.70545911987,470051.1551941197
204,455438.86976049165,468603.92149523133
205,455438.86976049165,467683.0907555747
206,455438.86976049165,466364.19097281573
207,455438.86976049165,465704.4104495006
208,455438.86976049165,464564.9439036038
209,455438.86976049165,463510.74239350273
210,453302.044921656,462486.35031340556
211,453302.044921656,461439.6372091868
212,451776.60066731815,460837.3429880903
213,448860.97132525704,459895.3533667135
214,448860.97132525704,459193.0639345854
215,448860.97132525704,458551.1178780723
216,448860.97132525704,458131.3350892855
217,448860.97132525704,457803.2575921297
218,448860.97132525704,457136.75403794507
219,447841.36389934394,456021.51045928255
220,447841.36389934394,455302.07848948904
221,443666.29482681863,453677.74829022755
222,443666.29482681863,452843.5769416426
223,442835.3055337693,451985.96824370057
224,442835.3055337693,450722.5345001016
225,442835.3055337693,450000.0991639253
226,442835.3055337693,449561.8294344909
227,442835.3055337693,449047.6134523416
228,440810.7744449513,448087.82004868897
229,440810.7744449513,447471.62490334513
230,440810.7744449513,447076.7472123707
231,431170.78042209573,446462.20416506304
232,431170.78042209573,445667.8135966778
233,431170.78042209573,444956.90900676406
234,431170.78042209573,443898.83249906247
235,426257.25754933676,442391.5150286946
236,423075.9042555566,441370.91886058263
237,423075.9042555566,440469.8351266872
238,423075.9042555566,438830.6169717256
239,423075.9042555566,437150.2538684066
240,423075.9042555566,436237.0745423611
241,411318.74226171686,434118.2669406028
242,411318.74226171686,433198.3418915383
243,411318.74226171686,431906.17886957544
244,410295.2159141055,429587.1163633083
245,410295.2159141055,427818.5562804836
246,410295.2159141055,425900.44724375126
247,410295.2159141055,423631.67349542544
248,410107.62627114187,421626.22317969525
249,410107.62627114187,420596.23064576666
250,410107.62627114187,419507.0977400233
251,402736.9852607031,418634.7432863731
252,402736.9852607031,417182.09248059883
253,402724.9862084038,416075.61209464836
254,402724.9862084038,414271.5888118377
255,401988.9901431476,413099.7534433583
256,400782.7099114389,412147.2454144584
257,400782.7099114389,410846.4054111588
258,400782.7099114389,410305.1222406982
259,400782.7099114389,409239.07999808714
260,395790.9647777944,407893.28753091244
261,395162.02606334747,406972.8230230544
262,395162.02606334747,405975.456163363
263,395162.02606334747,404970.4783538122
264,395162.02606334747,404048.4406159757
265,394305.82369544386,402922.58053271455
266,394305.82369544386,402310.4237495145
267,391898.2464172427,401475.4122210151
268,391898.2464172427,401136.17595652485
269,391898.2464172427,400748.8619813328
270,387394.8377202351,399963.27644909755
271,386439.51087340637,399104.3414017008
272,386439.51087340637,398647.7354032847
273,386439.51087340637,398116.28816080024
274,386439.51087340637,397496.5684488016
275,384429.9304588812,395882.52763489366
276,384429.9304588812,394708.6437694678
277,384429.9304588812,394511.79238282575
278,384429.9304588812,394320.69939097797
279,384132.2665491947,393607.73941437644
280,384132.2665491947,393355.17416305514
281,384132.2665491947,392919.03777644294
282,384132.2665491947,392776.70565578237
283,384132.2665491947,392424.11322962306
284,381344.2648257697,391968.41732469277
285,381344.2648257697,391547.78500347974
286,381344.2648257697,390973.3971371344
287,381344.2648257697,390620.39587316004
288,381344.2648257697,390075.31389259547
289,381344.2648257697,389324.12481633684
290,379832.2830209321,388644.15670700744
291,379832.2830209321,388042.10939769907
292,378418.60774724674,387405.6895214365
293,378418.60774724674,386763.45341016265
294,378418.60774724674,385950.5619907704
295,374042.1943684204,385156.8668163348
296,374042.1943684204,384875.1531979745
297,374042.1943684204,384256.03414501355
298,374042.1943684204,383648.84142320586
299,374042.1943684204,383290.5805074187
300,374042.1943684204,382549.4852631079
301,374042.1943684204,382211.75067815656
302,374042.1943684204,381624.8126441749
303,371065.3263783543,380805.195290903
304,371065.3263783543,380272.2871719179
305,371065.3263783543,380146.61644609884
306,371065.3263783543,379660.9528680019
307,371065.3263783543,379083.6145268838
308,371065.3263783543,378454.3544797642
309,371065.3263783543,377755.7275294135
310,371065.3263783543,377523.39801668277
311,369976.2735071267,376633.60922680167
312,369976.2735071267,375840.1138137763
313,367986.7340099782,375337.0287136942
314,367986.7340099782,374886.16967156716
315,367986.7340099782,374529.005187784
316,367749.6024562292,373814.2975726237
317,367749.6024562292,373564.8477769981
318,367749.6024562292,373477.6531593207
319,367749.6024562292,373212.2388820361
320,364732.0524958304,372681.07022290886
321,364732.0524958304,372514.635318014
322,364732.0524958304,372447.4785568134
323,364732.0524958304,371979.3138144428
324,364732.0524958304,371979.3138144428
325,364732.0524958304,371574.337515425
326,364732.0524958304,371116.3618261253
327,364732.0524958304,371019.47254843666
328,364732.0524958304,370694.68897782767
329,364732.0524958304,370588.9925994101
330,364732.0524958304,370432.5731783778
331,364732.0524958304,370249.37566434307
332,364732.0524958304,370158.0121279463
333,364732.0524958304,369781.3055471102
334,362130.33976137603,369311.20346391574
335,362130.33976137603,369090.3672434823
336,362130.33976137603,368788.32339876593
337,362130.33976137603,368513.3860977279
338,362130.33976137603,368480.5898254858
339,362054.1179921584,368125.29905698216
340,362054.1179921584,368088.3848478626
341,362054.1179921584,368088.3848478626
342,362054.1179921584,367959.1479204062
343,359100.28747735714,367350.80158843717
344,359100.28747735714,366954.7749371036
345,356124.7572615866,366625.00731600926
346,356124.7572615866,366197.97716939484
347,356124.7572615866,365872.58721523936
348,355911.6361812493,365346.2575844709
349,355911.6361812493,365151.23567665485
350,355911.6361812493,364518.46026959666
351,355911.6361812493,364330.73856186325
352,355911.6361812493,364072.6083714922
353,355911.6361812493,363235.4951192265
354,355911.6361812493,362814.4168135333
355,355911.6361812493,362819.22914333135
356,355911.6361812493,362543.9806320768
357,355048.3207132525,361810.269457621
358,355048.3207132525,361324.2530785448
359,353120.50812689465,360597.3343829749
360,353120.50812689465,360277.5605998028
361,353120.50812689465,359703.53276722674
362,352309.84196292475,359134.9478782202
363,352309.84196292475,358711.13956204185
364,350573.67507108685,358090.1682976364
365,350573.67507108685,357891.207740322
366,350573.67507108685,357647.995751302
367,350573.67507108685,357684.4283807866
368,350573.67507108685,357406.0637302814
369,350573.67507108685,357216.28627559065
370,342051.9023384346,356754.6279671985
371,342051.9023384346,356704.5986082633
372,342051.9023384346,356605.41458886885
373,342051.9023384346,356500.9528805168
374,342051.9023384346,355791.09429698356
375,342051.9023384346,355393.2509271949
376,342051.9023384346,355038.6873131447
377,342051.9023384346,354707.94986082666
378,342051.9023384346,353906.5097206518
379,339115.8896131999,353396.2084771324
380,339115.8896131999,352343.5550963205
381,339115.8896131999,351956.0506751827
382,339115.8896131999,351885.9292322851
383,339115.8896131999,351486.8204711327
384,339115.8896131999,350961.53350710304
385,339115.8896131999,350213.87797127734
386,339115.8896131999,349636.3705299855
387,339115.8896131999,349031.68151996133
388,339115.8896131999,348585.57118613773
389,339115.8896131999,348368.03485782654
390,339115.8896131999,347873.85016669414
391,337808.6551568793,347349.17240130657
392,337808.6551568793,347190.231964357
393,337808.6551568793,346793.09290871397
394,337808.6551568793,346649.47903198324
395,337808.6551568793,346151.0563706904
396,337808.6551568793,346004.9686303546
397,337808.6551568793,345716.81013416906
398,337808.6551568793,345533.26642954705
399,337808.6551568793,345118.8531162355
400,337808.6551568793,345170.93000005255
401,337808.6551568793,344679.6508211253
402,337808.6551568793,344490.2512819264
403,336132.69978480623,344117.4581831843
404,336132.69978480623,343735.02015172935
405,333990.2376435322,343102.87772564706
406,332456.93243323494,342855.164417066
407,332456.93243323494,342835.45692673454
408,332456.93243323494,342611.1574633685
409,332456.93243323494,342409.8561539283
410,332456.93243323494,341959.47046409076
411,332456.93243323494,341502.208358751
412,332456.93243323494,340950.7576851523
413,332456.93243323494,340489.0206996675
414,332456.93243323494,340243.0667621198
415,329160.4751576335,339425.08801569487
416,329160.4751576335,339187.77704203577
417,329160.4751576335,339049.0820242409
418,329160.4751576335,338790.83134875813
419,329160.4751576335,338790.83134875813
420,329160.4751576335,338560.81207672885
421,329160.4751576335,338330.66834498354
422,329160.4751576335,338150.0078931733
423,329160.4751576335,338041.2856658623
424,329160.4751576335,337838.3749505305
425,329160.4751576335,337762.8097466191
426,329160.4751576335,337292.49920747103
427,326696.80880902725,336308.31210493296
428,326696.80880902725,336088.00901051634
429,326696.80880902725,336011.24468448834
430,326696.80880902725,335688.91160705657
431,326696.80880902725,335445.5556901481
432,325838.82555478887,334995.87487381
433,325838.82555478887,334923.41344686353
434,325838.82555478887,334500.16443139256
435,325838.82555478887,334116.68641680904
436,325838.82555478887,333946.85888466594
437,325838.82555478887,333842.15427154413
438,325838.82555478887,333377.15752478933
439,325838.82555478887,333027.1639406878
440,325838.82555478887,333000.45441416884
441,325838.82555478887,332805.05053873814
442,325838.82555478887,332695.7633355052
443,325838.82555478887,332695.7633355052
444,325838.82555478887,332431.2196479393
445,325838.82555478887,332085.7205226232
446,325838.82555478887,331891.6764110088
447,325838.82555478887,331849.9024736412
448,325838.82555478887,331338.75642042235
449,325838.82555478887,331244.2451322865
450,325838.82555478887,331180.7532849575
451,325838.82555478887,331141.11186305585
452,325838.82555478887,330845.9054838588
453,325838.82555478887,330721.13757989445
454,325838.82555478887,330711.1966258965
455,325838.82555478887,330482.8572093035
456,325838.82555478887,330387.976746292
457,325838.82555478887,330106.57871269976
458,325838.82555478887,330041.43705000123
459,325838.82555478887,329978.414860505
460,325838.82555478887,329968.6854796293
461,325838.82555478887,329900.6060539063
462,325838.82555478887,329900.6060539063
463,325650.50099439145,329659.2295000805
464,325650.50099439145,329615.2115462265
465,325650.50099439145,329494.6691950285
466,325650.50099439145,329484.07373005
467,325650.50099439145,329505.2575998877
468,325650.50099439145,329452.3848920918
469,325650.50099439145,329278.5062047092
470,325650.50099439145,329206.0692584125
471,325650.50099439145,329184.6850943687
472,325405.52886498964,329084.77881588874
473,325405.52886498964,329143.8403265631
474,325270.79635202856,328874.0966677858
475,325270.79635202856,328664.7737172527
476,320621.83337426436,328480.6407097404
477,320621.83337426436,328475.20609347255
478,320621.83337426436,328360.3866666821
479,320621.83337426436,328361.17692422325
480,320621.83337426436,328335.0500047485
481,320621.83337426436,328331.9459762805
482,320621.83337426436,328263.9763324134
483,320621.83337426436,328243.8127402341
484,320621.83337426436,328003.5963195268
485,320621.83337426436,327846.71248382895
486,320621.83337426436,327566.2963458448
487,320621.83337426436,327525.48892157053
488,320621.83337426436,327441.34014284646
489,320621.83337426436,327203.49722380884
490,320621.83337426436,326927.2828801516
491,320621.83337426436,326747.68281053007
492,320621.83337426436,326709.6516071045
493,319630.47709115583,326334.9587908368
494,319630.47709115583,326125.8524710389
495,319630.47709115583,326050.82356168644
496,319630.47709115583,325838.2917467817
497,319630.47709115583,325779.3416762909
498,319630.47709115583,325798.4328311231
499,319630.47709115583,325582.83987277193
500,318618.1218563282,325325.7656968566
501,318618.1218563282,325207.74257410073
502,318618.1218563282,325155.519496294
503,318618.1218563282,325052.449063986
504,318618.1218563282,324865.0414545637
505,318618.1218563282,324786.1320811239
506,318618.1218563282,324786.1320811239
507,318618.1218563282,324391.1975712336
508,318618.1218563282,324214.11176952766
509,318618.1218563282,323799.83028552105
510,318618.1218563282,323752.5701912271
511,318618.1218563282,323688.30675715406
512,318618.1218563282,323513.65410759597
513,317657.4501956298,323317.9601171866
514,317657.4501956298,323191.2767377379
515,317657.4501956298,323101.3342036888
516,317657.4501956298,322999.4979100651
517,317657.4501956298,322873.76526987465
518,314917.9746247078,322457.59475797333
519,314917.9746247078,322343.52350808936
520,314917.9746247078,322136.8869512065
521,314917.9746247078,321932.35119247856
522,314917.9746247078,321866.5754724219
523,314917.9746247078,321726.4018801856
524,314917.9746247078,321502.8402923955
525,314917.9746247078,321372.17920425395
526,314917.9746247078,321024.2718015942
527,314917.9746247078,320903.94675400807
528,314396.2943844325,320596.41302036046
529,314396.2943844325,320561.6437617493
530,314396.2943844325,320353.00403159054
531,314396.2943844325,320277.0943826045
532,314396.2943844325,320250.8307294072
533,314396.2943844325,320237.09336379456
534,313330.7825993147,319753.1010371181
