iter,best,mean
0,1186227.4234831636,1273752.6453208567
1,1186227.4234831636,1250299.590199809
2,1186227.4234831636,1231501.3041737736
3,1178719.5031306134,1210029.6235864854
4,1178719.5031306134,1197436.0283943855
5,1178719.5031306134,1192282.0159807748
6,1152369.00596961,1186899.449671095
7,1152369.00596961,1184826.259512727
8,1152369.00596961,1183217.0650552646
9,1152369.00596961,1181333.5629120744
10,1152369.00596961,1180339.0459719752
11,1152369.00596961,1177833.5169043224
12,1152369.00596961,1173963.2580587047
13,1145568.1061156015,1168808.3933332262
14,1145568.1061156015,1164758.2374173265
15,1145568.1061156015,1159340.5240774145
16,1145568.1061156015,1156177.1935396236
17,1143009.714500454,1153069.8328981358
18,1131793.7995840241,1151110.128243477
19,1131793.7995840241,1149141.4698273977
20,1131793.7995840241,1148351.587344447
21,1131793.7995840241,1147243.339036272
22,1117161.3989847216,1143300.6089216075
23,1104020.1213420797,1139358.2321170243
24,1104020.1213420797,1136828.007828227
25,1099868.4128857846,1133600.4265549164
26,1099868.4128857846,1130785.2169214133
27,1099868.4128857846,1127965.8858331223
28,1099868.4128857846,1124729.2378671044
29,1099868.4128857846,1121756.4424982218
30,1094016.7575716581,1113543.9937728103
31,1085164.4772742062,1104562.605664079
32,1085164.4772742062,1099683.851327265
33,1070681.1143162479,1097069.800302467
34,1070681.1143162479,1095561.30836544
35,1070681.1143162479,1094477.2690542194
36,1070681.1143162479,1092974.6924749603
37,1059876.3522726553,1089163.2930861749
38,1059876.3522726553,1085071.4371076927
39,1059876.3522726553,1079521.2498682577
40,1050725.0075181196,1075048.3781460356
41,1037340.3983318517,1072193.0638968032
42,1037340.3983318517,1070244.5349770852
43,1037340.3983318517,1065232.450282566
44,1037340.3983318517,1063693.3940217597
45,1037340.3983318517,1058677.1809748611
46,1037340.3983318517,1056313.8916022524
47,1017219.6971110593,1049665.0796249749
48,1017219.6971110593,1048292.0449450208
49,1017219.6971110593,1044158.5982503198
50,1017219.6971110593,1041688.2494290243
51,1016657.1409527177,1036575.3271604201
52,994117.403100611,1032479.6119674285
53,989997.4345275804,1029021.3768983125
54,989997.4345275804,1027983.456862801
55,981518.3546296298,1022917.9892022359
56,981518.3546296298,1016443.6178875677
57,978281.9606491709,1010842.2325281189
58,976950.8226635302,1002104.9775270307
59,976950.8226635302,994610.1700686121
60,971711.5814828555,989072.9472222998
61,971711.5814828555,985603.9709393388
62,956527.6378731118,981993.1010946841
63,956527.6378731118,979782.1028360277
64,956527.6378731118,977742.3828450516
65,956527.6378731118,975131.1015774888
66,956527.6378731118,972487.5720674418
67,956527.6378731118,968925.6926634087
68,956527.6378731118,966731.7614401254
69,951381.4695905405,962997.748542353
70,951381.4695905405,961319.4381750403
71,947685.4547059414,957803.666113649
72,939842.8107114211,955326.3909197074
73,923327.7953307856,953946.9923048264
74,923327.7953307856,951124.4783472759
75,923327.7953307856,948924.9215569994
76,923327.7953307856,945519.4797388135
77,923327.7953307856,943527.2091964609
78,913452.4419952197,938402.9580328022
79,913452.4419952197,935313.897600415
80,913452.4419952197,932997.5706891714
81,904148.6647173322,927214.4793772289
82,904148.6647173322,923402.3596577118
83,899710.6364132878,919861.8928460645
84,899710.6364132878,918639.7814578658
85,886717.6280108909,915873.2448465786
86,886717.6280108909,912995.039662631
87,886717.6280108909,909467.6576186367
88,882753.6628093722,905450.2645011046
89,876583.717321376,901209.194286811
90,876583.717321376,896975.0695721849
91,876583.717321376,894166.9360972414
92,871810.2485605383,891621.357838397
93,864694.8364463772,889222.3470638548
94,864694.8364463772,886933.0931371547
95,861212.9070510443,883594.3516032536
96,861212.9070510443,881560.6108727343
97,846765.5892295672,877448.8942541038
98,840105.8782454052,872873.0930129439
99,840105.8782454052,870421.2949476874
100,840105.8782454052,866947.2788803214
101,828334.9913963594,863355.0837516233
102,828334.9913963594,858886.8947655684
103,828334.9913963594,854245.8926932743
104,828334.9913963594,851617.2413819997
105,828334.9913963594,849199.092895849
106,816190.3208168902,844977.478579568
107,816190.3208168902,840767.6239709847
108,816190.3208168902,838510.0819483417
109,816190.3208168902,836504.687159641
110,810953.682303416,833181.5731600353
111,810953.682303416,829470.0532185668
112,805950.4815098187,827273.6286193532
113,805950.4815098187,825419.3924125369
114,805950.4815098187,824276.4852113889
115,805668.7538073966,822440.9483602272
116,805668.7538073966,820804.6323757218
117,805668.7538073966,819350.7589491569
118,794146.1496810868,817168.7580959644
119,794146.1496810868,814025.7426556381
120,790220.5473944015,808923.4221981951
121,790220.5473944015,806624.9929842689
122,790220.5473944015,804802.2317921763
123,784183.0302287523,801752.3255612327
124,757612.8215539024,798604.9493225769
125,748543.9937446929,795368.7008031495
126,748543.9937446929,792561.7688057226
127,748543.9937446929,789647.0995688767
128,748543.9937446929,786185.4083993456
129,748543.9937446929,781808.1691970387
130,748543.9937446929,778127.8090914264
131,748543.9937446929,775665.341360545
132,748543.9937446929,771860.0645038594
133,748543.9937446929,767692.4425966198
134,745455.5309273332,763748.3425382811
135,745455.5309273332,758678.482887988
136,735497.381880643,753087.8450198648
137,735497.381880643,749873.4204738315
138,735497.381880643,747720.0540367502
139,735497.381880643,746825.8820295909
140,735497.381880643,745836.2747039273
141,735497.381880643,744471.2364840815
142,733542.0391265287,742969.0519279435
143,733542.0391265287,741632.4444859735
144,733542.0391265287,740430.5845000929
145,733542.0391265287,739523.3473521671
146,729243.7016327525,737824.962925862
147,715077.5646962941,736052.243415276
148,715077.5646962941,735081.3208833474
149,715077.5646962941,734454.6784744698
150,715077.5646962941,733897.1815325354
151,715077.5646962941,732619.730860467
152,715077.5646962941,731767.989696534
153,715077.5646962941,731020.4921732928
154,715077.5646962941,729018.9400775423
155,715077.5646962941,728575.7918869198
156,715077.5646962941,726409.5157975858
157,710090.4835900503,724100.8107800125
158,710090.4835900503,721964.1327483692
159,705976.6000612114,718983.2661989585
160,696129.6983568174,715392.9801306358
161,696129.6983568174,713654.6484601225
162,696129.6983568174,711972.4022420133
163,696129.6983568174,711496.0450723534
164,689316.6078861953,708582.7857192867
165,689316.6078861953,706381.9365169051
166,689316.6078861953,703877.1291874157
167,689316.6078861953,702104.0963437526
168,686840.9772068363,698716.1553509922
169,677060.0213307246,695704.6201029543
170,677060.0213307246,694337.873914752
171,677060.0213307246,693423.314885332
172,677060.0213307246,693225.108196644
173,665327.7082283007,690696.5698007495
174,665327.7082283007,689046.8198128362
175,665327.7082283007,687455.2629722554
176,665327.7082283007,686414.7589569304
177,665327.7082283007,686212.9210625585
178,665327.7082283007,685126.9543457436
179,665327.7082283007,684230.4618087256
180,665327.7082283007,681945.3184035779
181,663781.5713640003,679557.517077322
182,663781.5713640003,677252.4304422513
183,663781.5713640003,675278.8472364661
184,663781.5713640003,673997.6813083322
185,651119.1105946914,672347.0070783948
186,651119.1105946914,669851.9870614052
187,643273.2668023286,667817.7200407472
188,643273.2668023286,665513.4810075266
189,643273.2668023286,663957.3451893578
190,643273.2668023286,662195.6946672689
191,643273.2668023286,658864.8155433031
192,640982.0007307872,657089.3749434403
193,640982.0007307872,654169.0050748894
194,640982.0007307872,651301.1887169896
195,640982.0007307872,649179.673914836
196,640982.0007307872,648259.7251076952
197,638442.8101276368,647359.9686764526
198,638442.8101276368,646393.8509504953
199,634723.7021633699,645050.2476358444
200,634723.7021633699,643433.8109365754
201,634723.7021633699,642335.4539430145
202,634723.7021633699,642284.3072435588
203,633666.4467840277,641879.4882825428
204,631458.2929474718,641349.1621229477
205,631458.2929474718,640477.4176540207
206,631458.2929474718,639419.9789642241
207,631458.2929474718,638752.5383584902
208,629507.4009429419,637510.0426856276
209,629507.4009429419,636414.0414357507
210,629345.7858776405,635207.3600136619
211,625784.3741970072,634116.3857847354
212,625784.3741970072,633263.252714342
213,625784.3741970072,632773.2269805135
214,625784.3741970072,631954.4257563209
215,625784.3741970072,630995.6299879632
216,623431.7962067398,629418.927998827
217,612569.3907132839,628053.9678857152
218,612569.3907132839,627575.3956562333
219,612569.3907132839,627069.7483097701
220,606452.0523159576,625413.088253995
221,606452.0523159576,624159.8246463002
222,606452.0523159576,623070.3930808126
223,606452.0523159576,622200.2793530241
224,606452.0523159576,620842.2998857921
225,606452.0523159576,620061.3277526438
226,606452.0523159576,619576.5829004564
227,598113.1327052052,616113.1364912214
228,598113.1327052052,612555.4672042241
229,598113.1327052052,610215.2687339365
230,598113.1327052052,609588.3666749953
231,598113.1327052052,608928.7204925527
232,587251.097645499,607066.3214246519
233,587251.097645499,605458.2692502216
234,587251.097645499,604913.9765192315
235,587251.097645499,603816.361730822
236,587251.097645499,602771.5984372575
237,587251.097645499,600416.420074653
238,587251.097645499,598844.0807380105
239,587251.097645499,596482.4301054892
240,587251.097645499,594646.0406397443
241,585853.6482395963,591072.9700943999
242,577172.406793227,587965.4405531904
243,575352.9353058365,586843.1296591025
244,575352.9353058365,586357.7836268833
245,575352.9353058365,586110.19002791
246,575352.9353058365,585687.0602762249
247,575352.9353058365,585414.701936164
248,575352.9353058365,584932.8914943275
249,575352.9353058365,584021.5599825054
250,575352.9353058365,583332.3139757225
251,575352.9353058365,581698.4604405281
