iter,best,mean
1,1084769.7740565294,1280544.4723319623
2,1084769.7740565294,1262022.9794129275
3,1084769.7740565294,1246787.4313000487
4,1084769.7740565294,1236213.9580708956
5,1084769.7740565294,1227114.154883277
6,1084769.7740565294,1222783.535496831
7,1084769.7740565294,1218764.6263053608
8,1084769.7740565294,1216386.8377367244
9,1084769.7740565294,1214501.1614610536
10,1084769.7740565294,1211538.403604031
11,1084769.7740565294,1209979.95402064
12,1084769.7740565294,1208660.7111224893
13,1084769.7740565294,1206920.114184418
14,1084769.7740565294,1205355.456306585
15,1084769.7740565294,1203606.1610717967
16,1084769.7740565294,1201284.310567022
17,1084769.7740565294,1197663.634119412
18,1084769.7740565294,1195479.711072174
19,1084769.7740565294,1194470.3763844215
20,1084769.7740565294,1193435.0977136313
21,1084769.7740565294,1192071.3905565513
22,1084769.7740565294,1190919.0693313782
23,1084769.7740565294,1189869.5727146275
24,1084769.7740565294,1188734.633687039
25,1067545.0987543217,1186796.641417342
26,1067545.0987543217,1184986.86889486
27,1067545.0987543217,1184074.0131579835
28,1067545.0987543217,1183038.1366604324
29,1067545.0987543217,1182063.6857055034
30,1067545.0987543217,1181449.8191574547
31,1067545.0987543217,1180682.7580761886
32,1067545.0987543217,1179055.7317950395
33,1067545.0987543217,1178260.9521334425
34,1067545.0987543217,1177153.1077562133
35,1067545.0987543217,1176196.7614746792
36,1067545.0987543217,1175409.843985237
37,1067545.0987543217,1175015.5480774315
38,1067545.0987543217,1174431.1419129253
39,1067545.0987543217,1174088.6838677817
40,1067545.0987543217,1173769.2790251565
41,1067545.0987543217,1173152.31688383
42,1067545.0987543217,1172086.2984812574
43,1067545.0987543217,1171558.8822808242
44,1067545.0987543217,1170993.9067310626
45,1067545.0987543217,1170769.3548948183
46,1067545.0987543217,1170345.267811811
47,1067545.0987543217,1169871.3694111493
48,1067545.0987543217,1169576.2661993532
49,1067545.0987543217,1169204.5238762044
50,1067545.0987543217,1167987.2756221073
51,1067545.0987543217,1167558.9854383743
52,1067545.0987543217,1166710.0394367164
53,1067545.0987543217,1166428.7960558594
54,1067545.0987543217,1165871.4535125303
55,1067545.0987543217,1165369.2774650678
56,1067545.0987543217,1164724.5029255634
57,1067545.0987543217,1164347.563367834
58,1067545.0987543217,1163677.072076206
59,1059993.259010696,1162168.9315758133
60,1059993.259010696,1161211.6657352895
61,1059993.259010696,1160383.148970494
62,1059993.259010696,1160209.5160591947
63,1059993.259010696,1159857.620065648
64,1059993.259010696,1158894.3261537615
65,1059993.259010696,1158145.8159389386
66,1059993.259010696,1157669.6786899643
67,1059993.259010696,1157048.1806906546
68,1059993.259010696,1156312.3585663433
69,1059993.259010696,1155675.2506849973
70,1059993.259010696,1155060.9985279383
71,1059993.259010696,1154273.8996169504
72,1059993.259010696,1153931.5485171604
73,1059993.259010696,1153369.88122593
74,1059993.259010696,1152983.1541480725
75,1059993.259010696,1152338.7326895832
76,1059993.259010696,1151802.0388071458
77,1059993.259010696,1151518.9034913913
78,1059993.259010696,1151345.3028916807
79,1032127.3709524949,1150666.64647796
80,1032127.3709524949,1149661.8587858733
81,1030647.0970913521,1148691.5923147222
82,1030647.0970913521,1148267.429686831
83,1030647.0970913521,1148132.6278555386
84,1030647.0970913521,1147684.3292558214
85,1030647.0970913521,1147199.4417270108
86,1030647.0970913521,1146787.6203626678
87,1030647.0970913521,1146612.4897206763
88,1030647.0970913521,1146457.5162111775
89,1030647.0970913521,1145853.7670024938
90,1030647.0970913521,1145400.8580868198
91,1030647.0970913521,1144999.2817749155
92,1030647.0970913521,1144610.9903103139
93,1030647.0970913521,1144170.0048085744
94,1030647.0970913521,1144135.7145893318
95,1030647.0970913521,1143638.6674080172
96,1030647.0970913521,1143550.1715936586
97,1030647.0970913521,1143054.6855498985
98,1030647.0970913521,1142620.9125835956
99,1030647.0970913521,1142535.4875963947
100,1030647.0970913521,1142296.9004574835
101,1030647.0970913521,1141800.2546612925
102,1030647.0970913521,1141791.4561484323
103,1030647.0970913521,1141372.571635736
104,1030647.0970913521,1141189.505118839
105,1028242.534955148,1140750.017292498
106,1028242.534955148,1140731.4185321932
107,1028242.534955148,1140617.0213701343
108,1028242.534955148,1140376.8024558171
109,1028242.534955148,1140086.0439564348
110,1028242.534955148,1139701.7478689665
111,1028242.534955148,1138687.0335036067
112,1028242.534955148,1138531.5021702582
113,1028242.534955148,1138511.267606124
114,1028242.534955148,1138141.3221964336
115,1028242.534955148,1137460.6909837006
116,1028242.534955148,1136920.4705597712
117,1028242.534955148,1136920.4705597712
118,1028242.534955148,1136920.4705597712
119,1028242.534955148,1136729.6003374467
120,1028242.534955148,1136684.1329249365
121,1028242.534955148,1136421.373206454
122,1028242.534955148,1136373.733568567
123,1028242.534955148,1136228.976893399
124,1028242.534955148,1136228.976893399
125,1028242.534955148,1135998.5247089711
126,1028242.534955148,1135845.4346581134
127,1028242.534955148,1135478.8793648144
128,1028242.534955148,1135284.0189373961
129,1028242.534955148,1135284.0189373961
130,1028242.534955148,1134666.5628729132
131,1028242.534955148,1134614.1494452201
132,1028242.534955148,1134511.2462738652
133,1028242.534955148,1134511.2462738652
134,1028242.534955148,1134511.2462738652
135,1028242.534955148,1134348.2577864623
136,1028242.534955148,1134218.7661685483
137,1028242.534955148,1133893.2090239588
138,1028242.534955148,1133893.2090239588
139,1028242.534955148,1133420.626432126
140,1028242.534955148,1132988.4996863068
141,1028242.534955148,1132735.9499758421
142,1028242.534955148,1132671.9564075733
143,1028242.534955148,1132593.2242333083
144,1028242.534955148,1132376.379287153
145,1028242.534955148,1132269.5717166716
146,1028242.534955148,1132149.1507798634
147,1028242.534955148,1131599.1188140651
148,1028242.534955148,1131554.4704563671
149,1028242.534955148,1131418.97499948
150,1028242.534955148,1131217.097369604
151,1028242.534955148,1131200.3333070013
152,1028242.534955148,1131177.1324027441
153,1028242.534955148,1131113.7975538638
154,1028242.534955148,1131043.293597563
155,1028242.534955148,1130829.4294672278
156,1028242.534955148,1130750.3828433296
157,1028242.534955148,1130676.7756070232
158,1028242.534955148,1130650.4430936638
159,1028242.534955148,1130504.297595956
160,1028242.534955148,1130307.159984011
161,1028242.534955148,1130032.5383991457
162,1028242.534955148,1129833.5978424817
