iter,best,mean
1,377211.54070159036,467128.5027400702
2,378551.38376034854,456560.59674684604
3,378115.425156217,464050.5702228088
4,384156.32862518315,465955.1401752418
5,404557.8907909273,467765.6507252763
6,415803.60859037796,469505.9557746502
7,388283.2004934165,462861.4786477853
8,419086.5698405886,462938.5600614847
9,373423.38163584,465430.76186310285
10,387704.4936085018,465262.94772719214
11,391834.1708005766,462211.33898426854
12,381010.4350825184,463024.84021243994
13,398758.5354074126,467411.53464836074
14,377699.22600350593,458990.48473416467
15,395736.38328525214,459776.2231388575
16,408529.5388742761,464133.5792312408
17,398324.14377597097,462998.7249686884
18,370946.93340031174,466622.1613944531
19,384635.02201397193,467746.1563924536
20,363331.90549745475,456849.7224252066
21,388454.68959501386,460964.50366284593
22,367325.2196904273,464204.7057519291
23,373930.97996275994,452573.8499625116
24,391098.4283408748,466403.8406782608
25,405768.6660087163,467738.330437625
26,391715.0462982646,463965.0077140142
27,371981.1187460629,458371.36048179533
28,352258.9683012669,457415.2290479525
29,390124.5540640906,457099.0139045246
30,385920.3067015616,460093.770387027
31,388702.991691344,461392.1579419866
32,410611.6056576825,467627.8598900182
33,393597.01143116795,462661.43590201443
34,395835.10052765044,462432.40003584983
35,406780.62919747847,464404.1976391673
36,400958.39870368794,463140.18650876905
37,407223.0346309648,464180.38378033973
38,394017.24126932886,459602.8342272541
39,382648.31033436366,467943.4311664828
40,386184.97346166667,457568.5782270035
41,378437.72493778245,459011.3554846487
42,397542.5009505421,464148.6026054187
43,356005.424840032,463035.7874522777
44,390710.176484365,450345.96961306484
45,392931.49272972846,452861.5527843845
46,376282.3349898241,458415.9937118419
47,388176.739439399,455410.2561669318
48,388122.3773534563,457356.8153792831
49,378202.89023201005,453903.2900845222
50,369620.3574561131,443160.7933166769
51,371429.54179867223,440580.8344417979
52,375708.14338187635,442848.9099874379
53,370107.0626181867,437794.1562853876
54,355545.49230024783,430159.88571417856
55,367046.9433549872,421604.06491211604
56,341151.11846655246,423703.46955227794
57,338954.0569195055,412660.0382027983
58,333940.95349134365,416639.3823646167
59,314724.56328772975,399196.46069672145
60,323587.7167334321,391089.5978537781
61,341880.7178948619,388444.2594806442
62,307610.9277243244,381250.85774947697
63,317779.2383400074,376660.6617587753
