iter,best,mean
1,1117370.0700943235,1279513.8094492455
2,1117370.0700943235,1262727.386065907
3,1117370.0700943235,1253271.9990848338
4,1117370.0700943235,1246501.7543892232
5,1117370.0700943235,1240837.3271020583
6,1114153.7188933536,1235504.807714274
7,1114153.7188933536,1230690.2688471898
8,1114153.7188933536,1227101.4077491837
9,1114153.7188933536,1223082.3643871427
10,1104830.7304596805,1219183.885249433
11,1104830.7304596805,1216109.8393294301
12,1056368.2386067691,1211570.0666108234
13,1056368.2386067691,1208541.3069248
14,1056368.2386067691,1205238.5758576903
15,1056368.2386067691,1200542.4999171067
16,1056368.2386067691,1198593.9271027138
17,1056368.2386067691,1194915.6991628138
18,1056368.2386067691,1192753.856885038
19,1056368.2386067691,1190024.5781337726
20,1056368.2386067691,1188139.3059367007
21,1056368.2386067691,1186426.2121950937
22,1056368.2386067691,1184419.5212736418
23,1056368.2386067691,1183480.8579495987
24,1056368.2386067691,1181052.1305425062
25,1050414.3439475188,1179819.7238919274
26,1050414.3439475188,1177243.9358381387
27,1031340.7637856518,1175324.2140597273
28,1031340.7637856518,1172382.646119198
29,1031340.7637856518,1171293.3640425273
30,1031340.7637856518,1168478.381574066
31,1031340.7637856518,1165031.2049197406
32,1031340.7637856518,1162081.743988926
33,1031340.7637856518,1159173.094966396
34,1031340.7637856518,1156381.2346197434
35,1031340.7637856518,1154292.442260771
36,1031340.7637856518,1152441.2599081572
37,1018120.2672082221,1150545.842886941
38,1018120.2672082221,1148157.3702882081
39,984378.1718320149,1145225.6128156877
40,984378.1718320149,1142333.2461394207
41,984378.1718320149,1137836.836606946
42,984378.1718320149,1134151.090312395
43,984378.1718320149,1130892.9914732394
44,984378.1718320149,1127425.775490507
45,984378.1718320149,1123800.6458974546
46,984378.1718320149,1123422.3230535348
47,984378.1718320149,1122976.5615274524
48,984378.1718320149,1122929.5379938593
49,984378.1718320149,1122862.2570762646
50,984378.1718320149,1122755.1175540525
51,984378.1718320149,1122549.5790896497
52,984378.1718320149,1122269.9966486334
53,984378.1718320149,1121482.6102301518
54,984378.1718320149,1120491.067427197
55,984378.1718320149,1120261.2700759696
56,984378.1718320149,1119709.6641542283
57,984378.1718320149,1119037.8075472938
58,984378.1718320149,1118259.267351799
59,984378.1718320149,1117996.5691709006
60,984378.1718320149,1117516.6655848552
61,984378.1718320149,1116989.8295164874
62,984378.1718320149,1116465.7312501082
63,984378.1718320149,1116367.2886795409
64,984378.1718320149,1115667.9891063198
65,984378.1718320149,1114982.2902729823
66,984378.1718320149,1114647.480100571
67,984378.1718320149,1114226.5241940897
68,984378.1718320149,1113672.8019168908
69,984378.1718320149,1112703.518709699
70,984378.1718320149,1112359.1537317708
71,984378.1718320149,1111123.3207771573
72,984378.1718320149,1110413.4075879615
73,984378.1718320149,1110235.3997161603
74,971766.446236359,1109441.7696561152
75,971766.446236359,1108484.9559529016
76,971766.446236359,1108095.0559429594
77,971766.446236359,1107667.1811909818
78,971766.446236359,1107144.0418924794
79,971766.446236359,1106350.9118115855
80,971766.446236359,1105655.014261766
81,968780.05752725,1105082.0026886552
82,968780.05752725,1104793.0078486456
83,968780.05752725,1104469.2860588054
84,968780.05752725,1104123.5896456102
85,968780.05752725,1103595.2786032138
86,968780.05752725,1103291.8837790214
87,968780.05752725,1102979.5878325782
88,968780.05752725,1102742.1131263399
89,968780.05752725,1101618.5275227048
90,968780.05752725,1100610.1894388904
91,968780.05752725,1100477.6947110936
92,968780.05752725,1100330.4649509094
93,968780.05752725,1100041.9855097346
94,968780.05752725,1099678.4263028516
95,968780.05752725,1099634.9264300307
96,968780.05752725,1099555.812959636
97,968780.05752725,1098923.6107491348
98,894286.6698784337,1098093.8169072827
99,894286.6698784337,1097698.7015094468
100,894286.6698784337,1097239.6642572877
101,894286.6698784337,1096966.856338954
102,894286.6698784337,1096806.3691196505
103,894286.6698784337,1096525.923016581
104,894286.6698784337,1096172.5260280194
105,894286.6698784337,1095916.2354032057
106,894286.6698784337,1095606.7835914816
107,894286.6698784337,1095374.9947332758
108,894286.6698784337,1094993.1435903276
109,894286.6698784337,1094395.28471903
110,894286.6698784337,1094091.1252144172
111,894286.6698784337,1093787.768400017
112,894286.6698784337,1093576.6961777997
113,894286.6698784337,1093109.099968437
114,894286.6698784337,1093048.8205370621
115,894286.6698784337,1092967.9523443675
116,894286.6698784337,1092611.619455463
117,894286.6698784337,1092053.5658967663
118,894286.6698784337,1091448.755087758
119,894286.6698784337,1091073.8934888833
120,894286.6698784337,1090667.102580059
121,894286.6698784337,1090368.9104195682
122,894286.6698784337,1090317.4006124334
123,894286.6698784337,1089733.7020667794
124,894286.6698784337,1089561.2432438338
125,894286.6698784337,1089244.8040798402
126,894286.6698784337,1088965.373363361
127,894286.6698784337,1088584.8503673575
128,894286.6698784337,1087991.7986305067
129,894286.6698784337,1087437.5565389511
130,894286.6698784337,1086646.6215040805
131,894286.6698784337,1086104.0055632002
132,894286.6698784337,1085740.8944099548
133,894286.6698784337,1085177.3001905375
134,894286.6698784337,1084658.8471639806
135,894286.6698784337,1083904.3047773896
136,894286.6698784337,1082559.3602972706
137,894286.6698784337,1081666.3492615481
138,894286.6698784337,1081137.1523181181
139,894286.6698784337,1080019.3982867894
140,894286.6698784337,1079451.7140885592
141,894286.6698784337,1079022.887269363
142,894286.6698784337,1078085.5586830112
143,894286.6698784337,1077321.0463672886
144,894286.6698784337,1076963.3880568899
145,894286.6698784337,1076340.066018884
146,894286.6698784337,1076146.4172973242
147,894286.6698784337,1075758.246031527
148,894286.6698784337,1075005.7945760123
149,894286.6698784337,1074796.740999007
150,894286.6698784337,1074769.2551953716
151,894286.6698784337,1074373.9047906168
152,894286.6698784337,1074341.883857076
153,894286.6698784337,1073828.9967295206
154,894286.6698784337,1073161.1123717295
155,894286.6698784337,1072736.0434716432
156,894286.6698784337,1072688.3086889596
157,894286.6698784337,1072347.564639525
158,894286.6698784337,1072302.0143101087
159,894286.6698784337,1072086.7897160673
160,894286.6698784337,1071654.100792958
161,894286.6698784337,1071344.8388099114
162,894286.6698784337,1071118.9159689955
163,894286.6698784337,1070907.8527882863
164,894286.6698784337,1070586.4191475406
165,894286.6698784337,1070115.9000792122
166,894286.6698784337,1069923.6367743113
167,894286.6698784337,1069907.2448781196
168,894286.6698784337,1069807.9248370952
169,894286.6698784337,1069461.9876038337
170,894286.6698784337,1069268.0172062549
171,894286.6698784337,1069167.7902023264
172,894286.6698784337,1069066.0428516287
173,894286.6698784337,1068774.116443369
174,894286.6698784337,1068503.359990188
175,894286.6698784337,1068351.2174886537
176,894286.6698784337,1068245.5942948766
177,894286.6698784337,1068155.4315900959
178,894286.6698784337,1068147.077127599
179,894286.6698784337,1068147.077127599
180,894286.6698784337,1068004.5990275755
181,894286.6698784337,1067688.6765965826
182,894286.6698784337,1067688.6765965826
183,894286.6698784337,1067688.6765965826
184,894286.6698784337,1067355.611534306
185,894286.6698784337,1067355.611534306
186,894286.6698784337,1067355.611534306
187,894286.6698784337,1067355.611534306
188,894286.6698784337,1067355.611534306
189,894286.6698784337,1067322.7067832588
190,894286.6698784337,1067322.7067832588
191,894286.6698784337,1067322.7067832588
192,894286.6698784337,1067322.7067832588
193,894286.6698784337,1067261.430791142
194,894286.6698784337,1067097.6831149866
195,894286.6698784337,1067035.7561514908
196,894286.6698784337,1066967.5951581923
197,894286.6698784337,1066791.1425642073
198,894286.6698784337,1066785.8638227638
199,894286.6698784337,1066785.8638227638
200,894286.6698784337,1066712.799869117
201,894286.6698784337,1066712.799869117
202,894286.6698784337,1066632.5383366486
203,894286.6698784337,1066605.8261991811
204,894286.6698784337,1066515.7324298618
205,894286.6698784337,1066515.7324298618
206,894286.6698784337,1066481.7019014282
207,894286.6698784337,1066386.851940181
208,894286.6698784337,1066386.851940181
209,894286.6698784337,1066327.0194339957
210,894286.6698784337,1066194.0624103942
211,894286.6698784337,1066113.8517464334
212,894286.6698784337,1066075.744953942
213,894286.6698784337,1066057.4618459113
214,894286.6698784337,1066013.885381157
215,894286.6698784337,1065874.4132569798
216,894286.6698784337,1065710.2911785946
217,894286.6698784337,1065518.8125100192
218,894286.6698784337,1064989.557068811
219,894286.6698784337,1064847.901083718
220,894286.6698784337,1064776.1744180247
221,894286.6698784337,1064722.3643613302
222,894286.6698784337,1064722.3643613302
223,894286.6698784337,1064722.3643613302
224,894286.6698784337,1064704.705453384
225,894286.6698784337,1064693.117310942
226,894286.6698784337,1064508.555357439
227,894286.6698784337,1064508.555357439
228,894286.6698784337,1064422.258322226
229,894286.6698784337,1064336.7199865622
230,894286.6698784337,1064272.7610638852
231,894286.6698784337,1064224.6702486232
232,894286.6698784337,1064030.8900373017
233,894286.6698784337,1064016.6971795948
234,894286.6698784337,1063973.8773163778
235,894286.6698784337,1063866.7604619584
236,894286.6698784337,1063844.2258321922
237,894286.6698784337,1063811.4651570262
238,894286.6698784337,1063795.8131715895
239,894286.6698784337,1063794.550561192
240,894286.6698784337,1063794.550561192
241,894286.6698784337,1063528.8490745274
242,894286.6698784337,1063509.764703729
243,894286.6698784337,1063085.906071436
244,894286.6698784337,1062892.7879067836
245,894286.6698784337,1062642.8939504386
246,894286.6698784337,1062531.5070216164
247,894286.6698784337,1062299.8022609088
248,894286.6698784337,1062168.6276144015
249,894286.6698784337,1061971.600173648
250,894286.6698784337,1061542.9017563572
251,894286.6698784337,1061372.2878236996
252,894286.6698784337,1061311.258680832
253,894286.6698784337,1060989.8765589886
254,894286.6698784337,1060518.0708639026
255,894286.6698784337,1060190.3612450894
256,894286.6698784337,1059926.595427007
257,894286.6698784337,1059763.8027401643
258,894286.6698784337,1059616.3121986878
259,894286.6698784337,1059335.9684694044
260,894286.6698784337,1059208.8222187562
