iter,best,mean
1,401319.4566452906,469537.8317874244
2,402380.62725413265,470579.5989412994
3,380454.91800579714,462442.34066608
4,382781.9709330337,468020.69491408614
5,371089.97092115175,469530.80455033935
6,410151.895734183,469944.6775603831
7,372261.908259579,453149.2968676951
8,392142.64133691596,468404.2518243928
9,371724.15885977075,459969.3129729398
10,400855.8793304072,471483.8389533395
11,363169.23120110395,465200.79735148477
12,359107.823448236,459913.87650827516
13,364196.1254635328,462445.00635426765
14,385102.39476877,458212.30129382625
15,383717.12912604207,465684.28823708236
16,415303.8444204107,463270.7098545811
17,377785.2272838632,454310.1606040364
18,408558.32522547303,470044.6464863463
19,401798.17682353675,473166.422993334
20,369392.6641795302,462014.1555983177
21,405047.51120261615,466395.44171175803
22,367015.0537875357,462307.0836983668
23,391513.45520600746,464301.95723471936
24,400847.6872618169,461854.3165375219
25,393007.2076827394,470438.5155453002
26,387486.4855019995,463962.8323015983
27,389327.8554462083,472057.889799241
28,379341.0633075422,464203.81892619835
29,380576.9535915946,461457.17524723674
30,388456.8122743011,458725.30603887676
31,400591.2740453708,458610.4075838033
32,391552.4940050753,463117.0652533199
33,406039.2155259645,463967.96508973214
34,400055.3516588118,466612.242840041
35,401419.82919903804,462438.64052911475
36,406907.4361633352,465560.6870943916
37,376946.58023745293,455101.6173593943
38,409303.7111478354,475731.9541908399
39,385192.4656992029,465851.59725641203
40,350219.61331257224,447616.2174903803
41,395289.6179227167,462155.09975718
42,389547.1486915848,465862.09866187564
43,377224.04341321345,455255.56961218273
44,391768.7564961205,464646.84681683296
45,369553.1730343792,452116.64421417384
46,383498.2544016491,453592.74070352525
47,372880.5205958791,458895.96653630654
48,387306.9620662444,455873.0442142574
49,351073.58924036083,449450.1784573748
50,349811.10612359963,444284.00872199226
51,351726.29514807864,439258.62919553247
52,367705.29815635923,441579.91455137264
53,372126.47569411655,438891.8109648973
54,361667.0896149917,435594.47540099744
55,332576.90158035397,418782.75365043303
56,345810.110107884,416927.92111969256
57,357594.2371907092,416305.16123556363
58,323126.62848838733,410415.4241427077
59,329492.89872693707,399644.2704213968
60,317211.3922588779,389674.5485030198
61,312283.7488166994,391399.497983267
62,320393.0360968613,378889.21972049266
63,316299.8433855203,371130.92329697794
64,290692.07410319266,363757.96402623627
65,307783.4430228935,359048.2219035432
66,301337.5550628953,352175.2498028284
67,307557.95287761354,347559.80493205955
68,300054.5961215285,344974.35979087633
69,286944.4709157272,345006.90510625596
70,285668.2311430751,337708.8436737058
71,282255.5011288203,329332.37458529195
72,276001.0890226883,326392.1923531776
73,276654.08002325264,324741.12986228644
74,250202.04012992576,321751.8916872501
75,261317.5369240032,323844.087703707
76,264722.04695562116,315394.74486525636
77,260865.34485440774,313233.1132362208
78,264478.3930474412,316008.6249407801
79,255487.04876267063,306351.78427151166
80,263301.9178223312,302009.1024695187
81,255118.14617495687,305951.4124239301
82,258713.34011164936,299490.8345752784
83,255392.4132662423,298966.8909055726
84,247784.87533914758,297083.32075068593
85,253224.35415806167,289448.4481473129
86,251183.34616065206,282718.74358862796
87,250378.2412057023,288251.3166552217
88,247784.87533914758,285436.7391240798
89,251183.34616065206,284270.14836564456
90,253266.627763819,282921.1121636374
91,251237.73451308737,286258.12250828266
92,247784.87533914758,285149.25828279165
93,247784.87533914758,280301.53018841794
94,250378.2412057023,284124.51737056056
95,250378.2412057023,275494.632565057
96,254800.36732895055,279174.42807252525
97,249358.42713607915,282684.55296633416
98,249358.42713607915,280345.44921187364
99,247629.8230767139,279392.13825168204
100,249821.33894877988,279795.7639280531
101,249358.42713607915,281035.90181831724
102,249513.47939851292,281309.6857040327
103,247784.87533914758,278606.9575416202
104,249358.42713607915,279958.73799677816
105,247629.8230767139,281471.1220185522
106,247784.87533914758,280559.42628552415
107,247629.8230767139,279627.5283051964
108,249358.42713607915,281852.44895840937
109,250378.2412057023,283467.65490654664
110,247629.8230767139,278886.8696848764
111,252963.2170838091,282810.8337173821
112,249513.47939851292,280077.3056402417
113,252912.6250548968,281509.5953888696
114,250378.2412057023,276327.87590076885
115,250533.293468136,279825.0105208429
116,250378.2412057023,277492.68019675993
117,247784.87533914758,278457.4970176432
118,252641.17460928322,282316.9125683736
119,251183.34616065206,280802.36109055567
120,247629.8230767139,279851.1328442309
121,247784.87533914758,276797.8580548381
122,250533.293468136,281161.73573942046
123,251183.34616065206,277070.9982919499
124,247784.87533914758,276857.1020307538
125,247629.8230767139,279668.71117716556
126,247784.87533914758,280524.69900835824
127,247629.8230767139,278689.89738128625
128,247784.87533914758,282106.3226108393
129,247784.87533914758,282581.4239539738
130,247784.87533914758,280952.4123674782
131,250533.293468136,282900.3253967016
132,247784.87533914758,278865.46357560233
133,247784.87533914758,280133.7681047081
134,250378.2412057023,281654.24506112747
135,247784.87533914758,281200.03460946825
136,249821.33894877988,278008.30697041634
137,247784.87533914752,275275.8498649913
138,249358.42713607915,277071.61111278547
139,247784.87533914758,279690.102708602
140,247784.87533914752,282424.3940224749
141,247629.8230767139,281129.31330050225
142,252641.17460928322,280864.9907590136
143,249513.47939851292,279888.05853286287
144,251281.84614818436,280282.0121782709
145,251281.84614818436,278514.68952679395
146,249821.33894877988,280281.6732922473
147,247784.87533914758,279499.26235074596
148,249666.28668634626,275719.38920370035
149,249358.42713607915,278917.0689208674
150,249358.42713607915,279638.96399969107
151,247784.87533914758,279878.0005676622
152,249666.28668634626,281486.99884658586
153,249666.28668634626,275811.48830517597
154,247629.8230767139,274242.2714641987
155,249666.28668634626,284612.1344208867
156,249358.42713607915,279186.5086823661
157,247629.8230767139,278154.0137990371
158,249358.42713607915,283605.59310712013
159,249666.28668634626,280840.1248504551
160,247784.87533914758,279614.7162295854
161,247784.87533914758,281713.7928904665
162,249346.84191754187,279015.17196234263
163,246544.4981606914,276335.0608232449
164,247784.87533914758,280046.0400703609
165,247629.8230767139,282391.5905774466
166,250378.2412057023,283094.88353960396
167,249501.89417997553,278857.29188050865
168,247629.8230767139,282486.12012917205
169,246544.4981606914,274623.3330765057
170,246544.4981606914,280588.1769026658
171,246544.4981606914,276861.6043144761
172,247629.82307671395,278198.00778488495
173,246544.4981606914,281729.6946164901
174,246544.4981606914,282213.039568614
175,246544.49816069152,278188.7244437878
176,246544.4981606914,279337.88900560257
177,246699.55042312515,277291.54393819626
178,247629.8230767139,279153.6793702306
179,246544.4981606914,279445.35064552445
180,246544.4981606914,282368.93264152127
181,246699.55042312515,280854.7123883345
182,247629.8230767139,278858.12950571073
183,246544.4981606914,280973.627822905
184,247629.8230767139,280988.3508929136
185,246544.4981606914,279302.76107985456
186,246544.4981606914,281744.563532847
187,246699.55042312515,278592.7832011813
188,247629.8230767139,280670.59501771943
189,246699.55042312515,279861.31844490854
190,249346.84191754187,283949.6919928935
191,246544.4981606914,275713.7827208268
192,246544.4981606914,281808.99117132084
193,247629.8230767139,282895.8914287358
194,246544.4981606914,281584.80817057495
195,246699.55042312515,279577.01290610095
196,249501.89417997553,279692.6634943011
197,246544.4981606914,281722.2973454008
198,246699.55042312515,281397.891819572
199,246699.55042312515,281598.64113705023
200,246544.4981606914,280549.05625015014
201,246544.4981606914,281004.9526153064
202,246544.4981606914,280750.2098579978
203,246544.4981606914,277429.74940733303
204,252006.2531267384,282896.150714414
205,246699.55042312515,279643.4416834662
206,246544.4981606914,278847.15967763256
207,246699.55042312515,282745.27829975635
208,246544.4981606914,278924.2669184917
209,246544.4981606914,277580.7398485555
210,246699.55042312515,280302.8583271697
211,246544.4981606914,278650.32624520623
212,246699.55042312515,279849.93698352604
