iter,best,mean
1,1138641.3494459086,1279040.624113946
2,1138641.3494459086,1247888.9157240367
3,1107695.5916567238,1231310.5973391233
4,1100654.6987282075,1216193.9598572338
5,1078421.7431571528,1203728.5531782217
6,1078421.7431571528,1198499.3916002044
7,1059385.2880914889,1182754.1584728726
8,1038365.1009384777,1173610.5460744782
9,1038365.1009384777,1165083.8176429616
10,1013804.2994007046,1152370.4447613761
11,1010152.4020375096,1142103.3930594686
12,1010152.4020375096,1130365.8950546572
13,1007719.487643327,1113037.9333213272
14,989509.5165394031,1109481.1258362066
15,976557.6461873704,1094917.0643083993
16,974038.6360860969,1095424.584694463
17,973780.7478879722,1087219.9631515613
18,943186.0740592942,1080672.1548870022
19,943186.0740592942,1079330.6387975004
20,925498.8640814931,1066178.4982718437
21,925498.8640814931,1058753.3707197835
22,925498.8640814931,1048270.1247119308
23,925498.8640814931,1049697.5708731215
24,925498.8640814931,1043206.0025781126
25,910950.3629409706,1038710.1730948563
26,910950.3629409706,1027441.0962249223
27,910950.3629409706,1027326.8501070138
28,910950.3629409706,1029814.2163185533
29,905650.4078268216,1019164.166506983
30,892711.3290795434,1015226.7770061791
31,892711.3290795434,1019177.9474499456
32,877391.8602337785,1003516.2428235133
33,872135.460451678,996933.198145056
34,866496.0063609631,991513.2176840671
35,850168.627816982,987558.6175497914
36,845892.3725767311,988634.2782300098
37,845892.3725767311,982214.0715794404
38,845463.1290980193,980343.518301448
39,842100.4912815604,981957.3072876376
40,835075.201244151,968349.0246763834
41,823078.9091431915,944465.4171973675
42,823078.9091431915,942840.1440732043
43,823078.9091431915,944955.5533077725
44,823078.9091431915,927781.1834104689
45,814851.5285149573,925620.6776378008
46,809358.8370913893,927265.9494242221
47,809358.8370913893,907179.473759365
48,804659.1040189925,900263.3158609003
49,776845.9243620734,901259.0670281994
50,776845.9243620734,891062.4049057361
51,775162.4934590661,885772.9786927818
52,773253.7381343255,881215.8205596785
53,771635.478579277,879100.8491803465
54,739327.7071816851,884672.7636900719
55,730947.6113133703,861991.7659489769
56,718934.7945593138,839552.1085158769
57,718934.7945593138,829924.2536195513
58,716965.6142933341,827471.3876493638
59,697714.5247632327,850126.1495963386
60,697714.5247632327,837815.4139045072
61,697714.5247632327,842417.9639145798
62,697714.5247632327,850721.3681617796
63,692700.5303101556,866142.6120375105
64,692700.5303101556,890256.7535487625
65,692700.5303101556,896382.3295241777
66,692700.5303101556,905482.7309872373
67,692700.5303101556,919623.3887566663
68,692700.5303101556,927776.3967163656
69,692404.0849038139,921740.3592613641
70,687146.583803139,927559.0790731935
71,687146.583803139,925719.8038464605
72,687146.583803139,930853.7990227926
73,672827.2594266444,906579.7146494203
74,672827.2594266444,900877.297258153
75,672827.2594266444,904531.3908464712
76,672827.2594266444,904232.7935092777
77,672827.2594266444,884212.9804971499
78,672827.2594266444,872070.2270181829
79,666857.9751988206,836469.8312414263
80,666857.9751988206,812414.6164593657
81,666857.9751988206,828006.2181900117
82,662253.5318067863,832889.6940578801
83,661466.6224555766,848783.1760593853
84,661466.6224555766,877306.7530566325
85,653960.1947195443,856355.9674430509
86,653960.1947195443,858738.8971568132
87,653960.1947195443,859250.4215896433
88,653960.1947195443,857176.981326965
89,651849.146699803,858798.6320635579
90,642148.424236745,868555.4235532383
91,642148.424236745,854016.81993129
92,639421.8720510922,836779.2593120422
93,639421.8720510922,843046.8593515193
94,639421.8720510922,825598.5403967601
95,639421.8720510922,829000.8325847825
96,639421.8720510922,806983.7473928243
97,631919.6854001194,774829.5302473847
98,631919.6854001194,746522.9004921955
99,624235.8950754427,795115.0142539936
100,624235.8950754427,789618.3349675796
101,624235.8950754427,786645.2036751171
102,624235.8950754427,789367.2506665743
103,624235.8950754427,771363.5692864553
104,604252.037423903,749975.9772337782
105,604252.037423903,709889.1665278089
106,604252.037423903,708276.0799294285
107,604252.037423903,720882.9694000593
108,602926.8726784341,740044.3889524385
109,602926.8726784341,783974.368361211
110,602926.8726784341,776317.2530169166
111,602926.8726784341,783218.3894406522
112,602926.8726784341,753422.7494155896
113,602926.8726784341,744050.7079953176
114,596012.4696000391,771527.8938935524
115,596012.4696000391,757451.5309745745
116,587625.6600128574,788423.8995211718
117,587625.6600128574,802478.7632211376
118,587625.6600128574,781730.3854818173
119,587625.6600128574,795401.2220668073
120,587625.6600128574,804553.3004307164
121,587625.6600128574,815940.8037862738
122,587625.6600128574,824408.8726820638
123,587625.6600128574,804654.9810409049
124,587625.6600128574,778862.1771261211
125,587625.6600128574,800647.1696983881
126,578320.5852008405,817436.1715886779
127,578320.5852008405,828335.8126193905
128,578320.5852008405,804771.1559588098
129,572147.8759846332,800399.8076051049
130,572147.8759846332,790745.5983811406
131,572147.8759846332,762473.7265267826
132,572147.8759846332,761726.6342587778
133,572147.8759846332,757228.2285002635
134,571240.2507205857,804993.7343537391
135,571240.2507205857,786968.3215116601
136,563882.8823012224,815845.7839854343
137,563882.8823012224,816895.6339981143
138,563882.8823012224,824658.641658747
139,563882.8823012224,827007.7903789035
140,563882.8823012224,809619.5467207489
141,563882.8823012224,775398.3837065569
142,563882.8823012224,731872.8965366575
143,563882.8823012224,736051.964244073
144,555267.9726905988,715957.3304675096
145,555267.9726905988,699365.504782718
146,552021.237281499,694693.4650658254
147,547456.3027103837,723394.1750873141
148,547456.3027103837,704169.8349471894
149,547456.3027103837,675397.2906375533
150,541094.5887091608,697721.1720790035
151,541094.5887091608,668830.0813233985
152,541094.5887091608,668228.5090285861
153,541094.5887091608,666316.7373218816
154,541094.5887091608,702606.4843150402
155,541094.5887091608,668333.5067498431
156,541094.5887091608,664406.0826522284
157,540970.5347810299,666814.3399670678
158,540970.5347810299,693579.8410463384
159,538676.7852158883,676319.3646767144
160,531521.5258135669,704980.5528499188
161,531521.5258135669,683253.2299778374
162,531521.5258135669,643385.0914212086
163,531499.8597694939,654550.8252874272
164,531499.8597694939,639777.4892829508
165,531499.8597694939,629304.4543174218
166,525353.1395055274,657905.3048205046
167,525353.1395055274,632459.7043929946
168,525353.1395055274,620162.9187963028
169,523835.96953511646,627904.8645043862
170,520152.43859554216,635379.8788875409
171,520152.43859554216,612638.5478337071
172,519615.64869383053,588426.8735541159
173,519615.64869383053,586725.8520420766
174,516734.4713655843,588609.1403077267
175,513839.3431514992,609756.2187892837
176,513839.3431514992,598324.6026643113
177,512690.97511441086,601437.5503240917
178,504591.34099930973,625870.216136863
179,504591.34099930973,646185.8082779967
180,504591.34099930973,665020.6392731842
181,504591.34099930973,689216.2683949108
182,504591.34099930973,664624.18617
183,504591.34099930973,659538.0705200614
184,504591.34099930973,643284.1075855506
185,504591.34099930973,658248.6750439301
186,500446.4216386759,693084.8413438827
187,500446.4216386759,679265.5161779631
188,500446.4216386759,711732.7525758747
189,500446.4216386759,723847.8611950021
190,500446.4216386759,693056.7869694259
191,499325.12357498304,715050.1570284339
192,496963.54882189305,747524.3368603691
193,496963.54882189305,767262.7886089805
194,496963.54882189305,777109.0569487065
195,496963.54882189305,759096.857182058
196,496963.54882189305,765851.2509943433
197,496963.54882189305,744096.4939273846
198,495512.8602155925,718278.0269290009
199,495512.8602155925,682502.3674993892
200,494270.34324785485,643762.6599147111
201,492818.5073260527,617383.262772918
202,483637.05350811395,578556.2837004908
203,483637.05350811395,542634.8721989082
204,483637.05350811395,567187.4738977393
205,483637.05350811395,552033.2591871889
206,483637.05350811395,584503.4208806197
207,481444.5248452363,580066.387004105
208,473154.6668089745,577788.4026046913
209,473154.6668089745,579149.9659217458
210,473154.6668089745,606613.1162821845
211,473154.6668089745,583447.8089452586
