iter,best,mean
1,1162768.4867811287,1258663.0158987197
2,1157803.5877797047,1228727.0211757936
3,1150103.6088047053,1184226.402954716
4,1127728.8488418518,1164343.6932793602
5,1116223.9827310892,1151122.6645693392
6,1108883.4140902578,1139002.8349360332
7,1108883.4140902578,1129797.2655425724
8,1093955.5878356474,1121197.4401825499
9,1084318.9132440756,1111400.5829239257
10,1055948.257801777,1100256.8796396458
11,1043464.4893121918,1084188.9997433007
12,1038813.9100137078,1072285.35901611
13,1038813.9100137078,1060718.1689705506
14,1014321.303201499,1052439.6751166952
15,1014321.303201499,1045073.2864480303
16,1014321.303201499,1036282.1353694566
17,988705.36984641,1024754.34632023
18,988705.36984641,1017263.4260341412
19,988705.36984641,1009461.7651906327
20,957413.1314393117,999109.1672794578
21,957413.1314393117,990706.2672351928
22,953441.6969442328,983487.762520327
23,941629.452074955,975438.8815862929
24,935974.4113020955,964060.1186836873
25,926268.2354725272,951536.5625683869
26,921398.6624860466,940731.5932053152
27,905259.2245657746,932333.4417733985
28,903028.970126297,925841.7745834426
29,892296.1291642952,920089.5063593327
30,889831.6102644884,912838.9450426751
31,872664.1281071536,903270.1191496763
32,865719.0629756905,893806.5771667197
33,862875.3895807823,886704.8452520983
34,846986.2691572587,880107.5251258601
35,838401.6704179699,871502.3253820039
36,838401.6704179699,863894.6613738879
37,830216.6915760768,857191.9000399385
38,828607.7007368791,851157.5293743461
39,827168.5046985355,843906.4047645928
40,821809.6668289674,837451.8018959677
41,807980.9623164993,832922.0800698659
42,807775.1275108904,828946.071849569
43,807679.049263123,826094.3622306783
44,801677.3557250046,821569.5336857726
45,791239.9860553895,818855.6659304771
46,789496.8457418076,813152.4564165358
47,789108.7558732905,806598.3847165927
48,778166.5102286943,801514.4967966627
49,778166.5102286943,796520.5986319231
50,778166.5102286943,793791.3770509467
51,773588.4166134465,790880.8606770113
52,770370.9378378846,785330.5744022313
53,750693.92078529,780905.3444482731
54,750693.92078529,777102.3235518202
55,750693.92078529,773282.307498315
56,742612.25767038,769026.3668609558
57,730402.9399044645,762512.9793594342
58,720752.2551121189,754209.8394216099
59,720752.2551121189,748417.9010857072
60,718005.3795675217,742534.204098078
61,718005.3795675217,735354.5995507308
62,717670.7686146845,731143.4885571587
63,713992.6699719867,727777.2850980774
64,705443.1763057313,723678.0219990116
65,705443.1763057313,720190.4060937123
66,696589.1178340777,716274.7955982541
67,692026.706671281,712544.4458318255
68,692026.706671281,709352.9628796601
69,685954.4996944725,704268.2036178241
70,685954.4996944725,701308.2321526521
71,685954.4996944725,698690.302812602
72,680143.6405234654,695497.137586549
73,676025.5561321198,693663.2979308179
74,670022.7233004268,690465.3297153683
75,670022.7233004268,687702.7495177445
76,658108.7762820475,683465.8254255694
77,656859.1407055787,679472.521678807
78,656824.5333047557,675841.1424654532
79,656824.5333047557,673287.0907964557
80,642303.9375437654,669605.0183464516
81,625870.1996301992,664139.009355987
82,621266.2773304116,656613.5845198976
83,621266.2773304116,650195.5132087907
84,621266.2773304116,645531.6477839565
85,616938.2383720994,640625.8367673705
86,613216.1551473925,634663.806595612
87,609054.3200528293,629138.7182484018
88,605253.035740714,624866.4746135448
89,605253.035740714,621787.2180410768
90,605253.035740714,618994.7661263002
91,594507.7525675012,615568.5173293654
92,594507.7525675012,613251.3931123115
93,593324.9495371961,610394.873504585
94,593324.9495371961,607717.6012603549
95,579201.7754885069,603547.1762488802
96,579201.7754885069,598712.0822262072
97,571667.1187600215,595186.8437090928
98,571667.1187600215,591349.0000208638
99,571667.1187600215,589551.5586215315
100,566714.8693827644,586640.5670689862
101,566714.8693827644,582193.7063319815
102,563966.4103919182,578998.6185974217
103,563966.4103919182,576499.3995794822
104,559473.8791078952,573854.0957649165
105,558637.0451891836,571637.156580451
106,554624.9580364106,569537.8262944996
107,554624.9580364106,568133.5859178887
108,554624.9580364106,566953.367130719
109,554624.9580364106,565817.7520258711
110,554624.9580364106,564969.3187026617
111,554624.9580364106,563547.064876861
112,554624.9580364106,562267.9417821226
113,554184.4133687086,560436.4798525844
114,545247.6293706412,559444.552120679
115,539776.8275624504,557520.4316462066
116,539776.8275624504,556520.3783794583
117,539776.8275624504,555013.491654112
118,539776.8275624504,553478.2978950528
119,536959.7940290149,551080.9637173043
120,536959.7940290149,548915.1673005145
121,536959.7940290149,547194.3638642967
122,531195.0697847729,543984.2592355917
123,526589.5686568922,542225.1482042989
124,521458.4543238612,540892.2422449429
125,521458.4543238612,539756.5809483142
126,521458.4543238612,537959.6616112606
127,521458.4543238612,536137.1278966869
128,521458.4543238612,533410.1741600733
129,519986.5412341633,531416.6939761682
130,519986.5412341633,529712.1664369699
131,519986.5412341633,529029.1218117855
132,519986.5412341633,528594.051528295
133,519986.5412341633,527999.8747405879
134,519986.5412341633,527442.261156296
135,514311.02831093466,526788.6621569095
136,514311.02831093466,526517.5101619788
137,514311.02831093466,525560.1125026089
138,514311.02831093466,524870.0424786297
139,514311.02831093466,524142.1983887027
140,514168.4628285358,523266.59944999637
141,514168.4628285358,522551.684695986
142,511977.9440440274,521406.55234137096
143,511977.9440440274,521047.78006264387
144,509943.4775253022,520151.11968555703
145,509943.4775253022,519614.3839178259
146,507821.0170205284,518871.7800102396
147,503793.7237336548,516916.54079533
148,503793.7237336548,516141.05006212654
149,503793.7237336548,515544.11295282166
150,491208.5871006018,513445.8316295168
151,491208.5871006018,512569.8993415196
152,491208.5871006018,511084.21559387626
153,491208.5871006018,509112.8671344873
154,491208.5871006018,507824.55082855077
155,491208.5871006018,507492.0900585208
156,491208.5871006018,505052.749459582
157,491208.5871006018,504183.7305326988
158,491208.5871006018,502273.8879346445
