iter,best,mean
0,31985.0,33634.66
1,31985.0,33350.18
2,31985.0,32925.36
3,31985.0,32699.28
4,31847.0,32596.64
5,31847.0,32444.64
6,31847.0,32167.42
7,31830.0,31979.9
8,31777.0,31951.4
9,31601.0,31924.24
10,31580.0,31870.94
11,31516.0,31804.02
12,31516.0,31735.5
13,31477.0,31672.76
14,31477.0,31627.8
15,31313.0,31556.32
16,31313.0,31512.56
17,31313.0,31465.8
18,31132.0,31408.18
19,31080.0,31352.46
20,31072.0,31295.6
21,31072.0,31257.16
22,31041.0,31198.64
23,31026.0,31154.0
24,31026.0,31121.08
25,30785.0,31093.36
26,30785.0,31064.62
27,30714.0,31016.86
28,30714.0,30931.6
29,30656.0,30851.98
30,30653.0,30799.7
31,30407.0,30746.28
32,30404.0,30695.56
33,30404.0,30648.18
34,30274.0,30592.34
35,30215.0,30512.08
36,30160.0,30401.2
37,30138.0,30348.34
38,30027.0,30297.44
39,30027.0,30234.72
40,29905.0,30183.98
41,29905.0,30125.4
42,29844.0,30093.5
43,29512.0,30060.66
44,29451.0,29951.0
45,29442.0,29879.36
46,29393.0,29779.0
47,29393.0,29685.42
48,29393.0,29550.36
49,29392.0,29458.0
50,29392.0,29438.72
51,29310.0,29425.64
52,29009.0,29408.94
53,29009.0,29367.4
54,28835.0,29307.82
55,28835.0,29246.48
56,28835.0,29169.02
57,28835.0,29058.98
58,28834.0,28953.46
59,28771.0,28879.8
60,28687.0,28835.98
61,28600.0,28806.22
62,28580.0,28773.16
63,28580.0,28728.62
64,28561.0,28693.6
65,28561.0,28667.02
66,28552.0,28640.7
67,28552.0,28618.74
68,28509.0,28588.44
69,28472.0,28572.98
70,28431.0,28552.78
71,28406.0,28525.14
72,28216.0,28496.18
73,28216.0,28472.88
74,28216.0,28456.02
75,28066.0,28417.76
76,27973.0,28366.48
77,27973.0,28329.44
78,27973.0,28290.52
79,27973.0,28244.4
80,27764.0,28183.96
81,27764.0,28103.58
82,27764.0,28051.56
83,27764.0,28004.16
84,27652.0,27968.3
85,27652.0,27908.14
86,27612.0,27843.16
87,27612.0,27758.94
88,27588.0,27699.32
89,27365.0,27634.82
90,27365.0,27596.08
91,27365.0,27577.42
92,27365.0,27552.86
93,27365.0,27524.44
94,27298.0,27506.78
95,27222.0,27481.6
96,27107.0,27441.4
97,26940.0,27396.08
98,26940.0,27338.92
99,26940.0,27272.96
100,26940.0,27195.08
101,26938.0,27115.36
102,26895.0,27050.92
103,26728.0,26989.98
104,26728.0,26929.0
105,26708.0,26896.92
106,26708.0,26877.82
107,26629.0,26832.72
108,26629.0,26793.96
109,26629.0,26759.9
110,26569.0,26745.14
111,26569.0,26717.0
112,26547.0,26680.44
113,26455.0,26655.64
114,26455.0,26619.34
115,26352.0,26578.94
116,26352.0,26537.1
117,26322.0,26497.44
118,26250.0,26424.48
119,26250.0,26403.36
120,26244.0,26370.56
121,26176.0,26345.56
122,26176.0,26302.98
123,26176.0,26258.8
124,26176.0,26238.1
125,26023.0,26229.26
126,25969.0,26208.08
127,25961.0,26179.1
128,25961.0,26156.54
129,25961.0,26142.92
130,25880.0,26121.7
131,25880.0,26087.9
132,25865.0,26040.3
133,25853.0,25990.82
134,25853.0,25968.16
135,25853.0,25932.02
136,25800.0,25888.7
137,25706.0,25863.04
