iter,best,mean
1,56560.85581003589,66446.92541735058
2,56034.5178514136,66967.14209511774
3,59746.10072158677,67743.5528304868
4,56864.460951123016,68534.17840131439
5,55172.62677238619,68136.43677970475
6,58682.81300086258,67909.78104353203
7,56439.141857650466,68088.36324214085
8,60722.13957813366,67690.32558663208
9,55411.22355268646,68132.49267759855
10,57295.07877165028,67321.29880943264
11,58899.53098653124,68612.12452779613
12,58686.76718077456,67963.00022820331
13,55995.734316101756,65579.26366823725
14,55172.62677238619,65695.94122642881
15,55668.99358277375,68643.5551914344
16,55791.87786648266,67377.36149114712
17,57615.499184297325,68467.40815515546
18,58059.53586989867,69432.99471007426
19,55999.757825195324,66945.41034632848
20,57073.24316676261,66303.37538074536
21,54611.87767383287,68468.3725788136
22,55325.48480739385,68110.70113524747
23,57181.30863527565,69295.9930779682
24,59325.65936157346,67733.81383430446
25,60437.38752051769,69845.22486149083
26,55304.416152224,66700.38614719742
27,57685.187297619996,68295.12482642497
28,60269.69298518863,67943.10728435163
29,60110.70655061045,68711.17512502856
30,54956.39993325718,68808.73936434784
31,58059.53586989867,65986.36940502292
32,55304.416152224,65951.92998725611
33,55501.56201261825,67338.20882879854
34,54046.75617989873,65627.62704297791
35,58451.09077784872,68332.90453943795
36,59101.43677655097,66858.33707318253
37,56214.4733897165,67847.51046084326
38,55272.856296662125,66614.77690183875
39,54956.39993325718,66096.00453257866
40,55175.13900687191,68926.27705410088
41,56156.5834951947,66062.27362921071
42,57615.499184297325,68105.11087422879
43,56790.98979641742,67127.98363950104
44,56754.37839358364,67335.42605323608
45,55474.45747821595,69413.22250899262
46,58427.00552875801,66776.82991592032
47,55869.53764615814,66009.92998379291
48,53653.11701459487,67966.26572108649
49,53941.087527560594,67387.43092088659
50,57181.30863527565,66431.52292343645
51,55172.62677238619,64707.46439439538
52,55018.42742135687,65076.455491594614
53,58678.78696399514,69889.50170869763
54,55175.13900687191,67103.23231166789
55,55846.23895282684,66349.85934311528
56,57294.932849500125,67337.55376456123
57,57807.75443466154,66238.78269239586
58,55668.99358277375,65612.04840694315
59,55172.62677238619,63932.931906290694
60,58427.00552875801,67580.9148405262
61,55172.62677238619,65860.54976431947
62,55474.45747821595,68803.36462577259
63,58566.7064624463,68837.07232157943
64,54274.27391627843,66044.12978178731
65,53653.11701459487,66731.32214429461
66,54792.83829214086,67585.73311335848
67,59209.34130986434,68014.91382031626
68,55172.62677238619,66371.81690152551
69,55651.21205667745,66962.21729954133
70,55172.62677238619,65980.07254606138
71,53738.675076974905,65471.70354865173
72,52886.39376491597,67449.52944460092
73,55791.87786648266,67857.34599595859
74,59288.362581350186,67432.07392373907
75,53065.425776060285,66829.44256729168
76,55801.238881206045,67806.02454165275
77,57257.4177975206,66642.10175902644
78,51912.370324316595,65848.8837077658
79,56164.857770378505,66746.03781976401
80,55791.87786648266,64685.10085118188
81,56864.460951123016,66442.10362637597
82,53417.03246878032,65741.68531959961
83,57294.932849500125,66882.67402098818
84,56560.85581003589,65103.841135796545
85,56754.37839358365,64291.55914389094
86,54791.97245859,65542.15218357703
87,53065.4257760603,64670.52497889997
88,55304.416152224,64670.85528656358
89,54046.75617989873,64464.181499141
90,55651.212056677454,64047.919633043995
91,55304.416152224,65636.15390654773
