iter,best,mean
0,23176.280101709322,56234.35645610868
1,22954.138527776977,47998.604672143665
2,22954.138527776977,30572.865680446463
3,22888.718810338294,24385.472239480154
4,21037.992848443755,23463.514866970832
5,21037.992848443755,23023.612792341515
6,21037.992848443755,22814.006072906897
7,21037.992848443755,22351.63846571236
8,21037.992848443755,21549.212648048615
9,21037.992848443755,21037.992848443766
10,21037.992848443755,21037.992848443762
11,21037.992848443755,21037.99284844375
12,21037.992848443755,21037.99284844375
13,21037.992848443755,21037.99284844375
