iter,best,mean
0,6901.260604513889,11516.484157166184
1,6901.260604513889,8269.914226829584
2,6901.260604513889,7528.588575462008
3,6901.260604513888,7181.552089698796
4,6901.260604513888,7039.161434809723
5,6901.260604513888,6988.454229960584
6,6901.260604513888,6940.327491917502
7,6901.260604513888,6901.260604513889
8,6901.260604513888,6901.260604513889
9,6901.260604513888,6901.260604513889
10,6901.260604513888,6901.260604513889
11,6901.260604513888,6901.260604513889
12,6901.260604513888,6901.260604513888
13,6901.260604513888,6901.260604513888
14,6901.260604513888,6901.2606045138855
