iter,best,mean
0,553.0,1278.265
1,553.0,649.2
2,553.0,607.37
3,553.0,588.58
4,551.0,577.22
5,551.0,570.815
6,551.0,565.965
7,551.0,561.62
8,551.0,559.06
9,547.0,558.55
10,547.0,557.845
11,547.0,556.9
12,547.0,555.56
13,547.0,554.34
14,547.0,553.5
15,547.0,552.465
16,547.0,551.17
17,547.0,550.885
18,547.0,550.885
19,547.0,550.84
20,547.0,550.78
21,547.0,550.78
22,547.0,550.715
23,547.0,550.59
24,547.0,550.375
25,547.0,550.18
26,547.0,549.91
27,547.0,549.665
28,547.0,548.92
29,547.0,548.155
30,547.0,547.535
31,547.0,547.0
32,547.0,547.0
33,547.0,547.0
34,547.0,547.0
35,547.0,547.0
36,547.0,547.0
37,547.0,547.0
38,547.0,547.0
39,547.0,547.0
40,547.0,547.0
41,547.0,547.0
42,547.0,547.0
43,547.0,547.0
