iter,best,mean
0,566.0,1088.095
1,566.0,650.81
2,563.0,621.835
3,559.0,606.26
4,557.0,594.205
5,550.0,586.41
6,550.0,582.11
7,550.0,577.495
8,550.0,571.65
9,546.0,566.65
10,546.0,562.97
11,546.0,560.395
12,546.0,557.86
13,546.0,555.355
14,546.0,553.73
15,544.0,551.6
16,544.0,549.73
17,543.0,547.77
18,543.0,546.775
19,543.0,545.91
20,543.0,545.825
21,543.0,545.735
22,543.0,545.645
23,543.0,545.49
24,543.0,545.28
25,543.0,544.895
26,543.0,544.27
27,543.0,543.73
28,541.0,543.6
29,541.0,543.445
30,541.0,543.16
31,541.0,542.99
32,541.0,542.99
33,541.0,542.99
34,541.0,542.99
35,541.0,542.98
36,541.0,542.98
37,541.0,542.98
38,541.0,542.97
39,541.0,542.97
40,541.0,542.97
41,541.0,542.96
42,541.0,542.95
43,541.0,542.94
44,541.0,542.93
45,541.0,542.92
46,541.0,542.92
47,541.0,542.885
48,541.0,542.855
49,541.0,542.835
50,541.0,542.785
51,541.0,542.735
52,541.0,542.69
53,541.0,542.59
54,541.0,542.475
55,541.0,542.33
56,541.0,542.185
57,541.0,541.945
58,541.0,541.83
59,541.0,541.665
60,541.0,541.43
61,541.0,541.155
62,541.0,541.0
63,541.0,541.0
