iter,best,mean
0,21136.731107191423,30483.57432235591
1,21136.731107191423,26273.207786776395
2,21136.731107191423,23960.002095519663
3,21136.731107191423,22109.316103582307
4,21136.731107191423,21149.21651367652
5,21136.731107191423,21136.73110719142
6,21136.731107191423,21136.73110719142
7,21136.731107191423,21136.73110719142
8,21136.731107191423,21136.73110719142
9,21136.731107191423,21136.73110719142
10,21136.731107191423,21136.73110719142
11,21136.731107191423,21136.73110719142
12,21136.731107191423,21136.73110719142
13,21136.731107191423,21136.73110719142
