iter,best,mean
0,30787.768177318885,40328.06584851729
1,30787.768177318885,34026.52191857773
2,30787.768177318885,32172.136331627018
3,30787.768177318885,30825.328673570722
4,30787.768177318885,30787.76817731889
5,30787.768177318885,30787.76817731889
6,30787.768177318885,30787.76817731889
7,30787.768177318885,30787.76817731889
8,30787.768177318885,30787.76817731889
9,30787.768177318885,30787.76817731889
10,30787.768177318885,30787.76817731889
11,30787.768177318885,30787.76817731889
12,30787.768177318885,30787.76817731889
