iter,best,mean
1,19038.83051148115,22061.517849958138
2,19038.83051148115,20000.1185437704
3,19038.83051148115,19450.555824012197
4,19038.83051148115,19117.003322429056
5,19038.83051148115,19098.241847801557
6,19038.83051148115,19065.930419276425
7,19038.83051148115,19038.830511481152
8,19038.83051148115,19038.830511481152
9,19038.83051148115,19038.830511481152
10,19038.83051148115,19038.830511481152
11,19038.83051148115,19038.830511481152
12,19038.83051148115,19038.830511481152
13,19038.83051148115,19038.830511481152
14,19038.83051148115,19038.830511481152
15,19038.83051148115,19038.830511481152
16,19038.83051148115,19038.830511481152
17,19038.83051148115,19038.830511481152
18,19038.83051148115,19038.830511481152
19,19038.83051148115,19038.830511481152
20,19038.83051148115,19038.830511481152
21,19038.83051148115,19038.830511481152
22,19038.83051148115,19038.830511481152
23,19038.83051148115,19038.830511481152
24,19038.83051148115,19038.830511481152
25,19038.83051148115,19038.830511481152
26,19038.83051148115,19038.830511481152
27,19038.83051148115,19038.830511481152
28,19038.83051148115,19038.830511481152
29,19038.83051148115,19038.830511481152
30,19038.83051148115,19038.830511481152
31,19038.83051148115,19038.830511481152
32,19038.83051148115,19038.830511481152
33,19038.83051148115,19038.830511481152
34,19038.83051148115,19038.830511481152
35,19038.83051148115,19038.830511481152
36,19038.83051148115,19038.830511481152
37,19038.83051148115,19038.830511481152
38,19038.83051148115,19038.830511481152
39,19038.83051148115,19038.830511481152
40,19038.83051148115,19038.830511481152
41,19038.83051148115,19038.830511481152
42,19038.83051148115,19038.830511481152
43,19038.83051148115,19038.830511481152
44,19038.83051148115,19038.830511481152
45,19038.83051148115,19038.830511481152
46,19038.83051148115,19038.830511481152
47,19038.83051148115,19038.830511481152
48,19038.83051148115,19038.830511481152
49,19038.83051148115,19038.830511481152
