algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
ntnsga2,0,748864,318012.5,700000.0,28594.6,7.103206396102905,7,1.0
nsga2,0,748864,318019.3,700000.0,28596.199999999997,7.075016736984253,7,
ga,0,748864,318012.5,700000.0,28587.5,7.030648231506348,7,
aco,0,748864,321614.9,700000.0,29060.8,7.0198304653167725,7,
pso,0,748864,318019.30000000005,700000.0,28595.5,7.014983415603638,7,
ntnsga2,1,115308,318012.5,700000.0,28594.6,7.056128978729248,7,1.0
nsga2,1,115308,318019.3,700000.0,28596.199999999997,7.093106985092163,7,
ga,1,115308,318012.5,700000.0,28587.5,7.027476072311401,7,
aco,1,115308,321614.9,700000.0,29060.8,7.0102784633636475,7,
pso,1,115308,318019.30000000005,700000.0,28595.5,7.0067338943481445,7,
ntnsga2,2,91197,318012.5,700000.0,28594.6,7.094727277755737,7,1.0
nsga2,2,91197,318019.3,700000.0,28596.199999999997,7.0629918575286865,7,
ga,2,91197,318012.5,700000.0,28587.5,7.024348974227905,7,
aco,2,91197,321614.9,700000.0,29060.8,7.022085189819336,7,
pso,2,91197,318019.30000000005,700000.0,28595.5,7.010978937149048,7,
