iter,best,mean,best_route_time,mean_route_time
1,42377.59999999999,49282.808,4081.8,4692.170999999999
2,41609.2,47385.572,3987.4000000000005,4537.937
3,41121.799999999996,45380.04,3976.6000000000004,4370.469
4,39973.1,43945.483,3862.2999999999997,4261.08
5,39973.1,43088.224,3862.2999999999997,4181.2880000000005
6,39973.1,42450.0,3862.2999999999997,4118.706
7,39973.1,42153.79,3862.2999999999997,4086.3830000000003
8,39973.1,41868.911,3862.1,4062.251
9,39973.1,41619.599,3862.1,4049.0490000000004
10,39973.1,41349.538,3862.1,4022.929
11,39973.1,41113.779,3862.1,3989.827
12,39973.1,40915.026,3862.1,3966.009
13,39973.1,40809.604,3862.1,3955.112
14,39973.1,40713.61,3862.1,3947.5209999999997
15,39973.1,40632.083,3862.1,3939.343
16,39973.1,40593.024,3862.1,3929.975
17,39973.1,40529.242999999995,3862.1,3923.2169999999996
18,39973.1,40468.746,3862.1,3912.0269999999996
19,39973.1,40451.458,3862.1,3910.421
20,39973.1,40413.997,3862.1,3908.6020000000003
21,39973.1,40407.983,3862.1,3907.3579999999997
22,39973.1,40400.138999999996,3862.1,3906.796
23,39973.1,40363.962999999996,3862.1,3901.26
24,39973.1,40347.074,3862.1,3899.925
25,39973.1,40327.341,3862.1,3897.394
26,39973.1,40305.984,3862.1,3894.2859999999996
27,39973.1,40297.948,3862.1,3893.334
28,39973.1,40285.901,3862.1,3891.8089999999997
29,39973.1,40285.901,3862.1,3891.8089999999997
30,39973.1,40284.795,3862.1,3892.41
31,39973.1,40260.172,3862.1,3889.915
32,39973.1,40247.282999999996,3862.1,3888.939
33,39973.1,40241.989,3862.1,3888.422
34,39750.0,40226.657,3862.1,3889.5359999999996
35,39750.0,40221.526,3862.1,3891.794
36,39750.0,40217.361999999994,3862.1,3891.777
37,39750.0,40214.608,3862.1,3892.2889999999998
38,39750.0,40212.032999999996,3862.1,3892.3989999999994
39,39750.0,40209.051,3862.1,3892.313
40,39750.0,40204.708,3862.1,3892.6789999999996
41,39750.0,40200.587,3862.1,3894.382
42,39750.0,40200.1,3862.1,3894.5809999999997
43,39750.0,40199.526,3862.1,3895.167
44,39750.0,40198.952,3862.1,3895.927
45,39750.0,40194.761,3862.1,3895.6189999999997
46,39750.0,40193.62,3862.1,3895.2670000000003
47,39750.0,40192.498,3862.1,3895.105
