algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
ntnsga2,0,889499,298401.4,700000.0,27406.2,2.220486879348755,7,1.0
nsga2,0,889499,298715.0,700000.0,27304.0,2.174328327178955,7,
ga,0,889499,298827.2,700000.0,27372.699999999997,2.121196746826172,7,
aco,0,889499,299802.4,700000.0,27374.899999999998,2.1172690391540527,7,
pso,0,889499,305829.9,700000.0,28007.0,2.112431526184082,7,
ntnsga2,1,412774,298386.9,700000.0,27194.9,2.1532204151153564,7,1.0
nsga2,1,412774,298715.0,700000.0,27304.0,2.1721301078796387,7,
ga,1,412774,298827.2,700000.0,27372.699999999997,2.122579574584961,7,
aco,1,412774,299557.4,700000.0,27349.0,2.12499737739563,7,
pso,1,412774,305829.9,700000.0,28007.0,2.1087913513183594,7,
ntnsga2,2,498053,298386.9,700000.0,27194.9,2.1887214183807373,7,1.0
nsga2,2,498053,298715.0,700000.0,27304.0,2.1585886478424072,7,
ga,2,498053,298827.2,700000.0,27372.699999999997,2.1235899925231934,7,
aco,2,498053,299557.4,700000.0,27349.0,2.122283458709717,7,
pso,2,498053,305829.9,700000.0,28007.0,2.1060051918029785,7,
ntnsga2,3,716635,298401.4,700000.0,27406.2,2.218899726867676,7,1.0
nsga2,3,716635,298715.0,700000.0,27304.0,2.1666622161865234,7,
ga,3,716635,298827.2,700000.0,27372.699999999997,2.121361494064331,7,
aco,3,716635,299557.4,700000.0,27349.0,2.121626138687134,7,
pso,3,716635,305829.9,700000.0,28007.0,2.1132705211639404,7,
ntnsga2,4,390446,298386.9,700000.0,27194.9,2.2120590209960938,7,1.0
nsga2,4,390446,298715.0,700000.0,27304.0,2.1574344635009766,7,
ga,4,390446,298827.2,700000.0,27372.699999999997,2.116910696029663,7,
aco,4,390446,299557.4,700000.0,27349.0,2.116013765335083,7,
pso,4,390446,305829.9,700000.0,28007.0,2.110119581222534,7,
ntnsga2,5,823201,298386.9,700000.0,27194.9,2.177035093307495,7,1.0
nsga2,5,823201,298715.0,700000.0,27304.0,2.160125970840454,7,
ga,5,823201,298827.2,700000.0,27372.699999999997,2.120293617248535,7,
aco,5,823201,299557.4,700000.0,27349.0,2.1195883750915527,7,
pso,5,823201,305829.9,700000.0,28007.0,2.1116676330566406,7,
ntnsga2,6,582852,298401.4,700000.0,27406.2,2.1999623775482178,7,1.0
nsga2,6,582852,298715.0,700000.0,27304.0,2.18115234375,7,
ga,6,582852,298827.2,700000.0,27372.699999999997,2.1151533126831055,7,
aco,6,582852,299557.4,700000.0,27349.0,2.1196658611297607,7,
pso,6,582852,305829.9,700000.0,28007.0,2.1084401607513428,7,
ntnsga2,7,152613,298401.4,700000.0,27406.2,2.2424709796905518,7,1.0
nsga2,7,152613,298715.0,700000.0,27304.0,2.161482334136963,7,
ga,7,152613,298827.2,700000.0,27372.699999999997,2.1067140102386475,7,
aco,7,152613,299557.4,700000.0,27349.0,2.1224334239959717,7,
