iter,best,mean,best_route_time,mean_route_time
1,48786.40000000001,61474.29,4574.700000000001,5218.28
2,48786.40000000001,58625.747,4574.700000000001,5054.852
3,48786.40000000001,56532.257000000005,4431.4,4934.576999999999
4,48786.40000000001,55663.754,4431.4,4897.677
5,48786.40000000001,55008.347,4431.4,4864.344
6,48786.40000000001,54656.685,4431.4,4846.788
7,48786.40000000001,54418.258,4431.4,4838.181
8,48786.40000000001,54149.105,4431.4,4830.983
9,48786.40000000001,53835.39,4431.4,4814.374
10,48786.40000000001,53589.085999999996,4431.4,4804.223999999999
11,48786.40000000001,53456.557,4431.4,4804.395
12,48786.40000000001,53332.619000000006,4431.4,4802.976
13,48786.40000000001,53275.505,4431.4,4802.2429999999995
14,48786.40000000001,53243.382000000005,4431.4,4804.06
15,48786.40000000001,53231.337999999996,4431.4,4804.475
16,48786.40000000001,53222.765999999996,4431.4,4804.566999999999
