iter,best,mean,best_route_time,mean_route_time
1,14118.11564236038,22952.523337950483,14118.11564236038,22952.523337950483
2,14118.11564236038,19971.176174864086,14118.11564236038,19971.176174864086
3,14118.11564236038,18899.421791003206,14118.11564236038,18899.421791003206
4,14118.11564236038,18514.454184834263,14118.11564236038,18514.454184834263
5,14118.11564236038,18470.062344864742,14118.11564236038,18470.062344864742
6,14118.11564236038,19066.527850323644,14118.11564236038,19066.527850323644
7,14118.11564236038,18905.08244279729,14118.11564236038,18905.08244279729
8,14118.11564236038,18110.049734443008,14118.11564236038,18110.049734443008
9,14118.11564236038,18268.10667497942,14118.11564236038,18268.10667497942
10,14118.11564236038,18851.131782704033,14118.11564236038,18851.131782704033
11,14118.11564236038,18047.836765063596,14118.11564236038,18047.836765063596
12,14118.11564236038,18088.00063023054,14118.11564236038,18088.00063023054
13,14118.11564236038,17712.19466121833,14118.11564236038,17712.19466121833
14,14118.11564236038,17456.276175596657,14118.11564236038,17456.276175596657
15,14118.11564236038,17247.478720523122,14118.11564236038,17247.478720523122
16,14118.11564236038,18113.226694177374,14118.11564236038,18113.226694177374
17,14118.11564236038,18671.953271382186,14118.11564236038,18671.953271382186
18,14118.11564236038,18450.06995629116,14118.11564236038,18450.06995629116
19,14118.11564236038,18059.71182782293,14118.11564236038,18059.71182782293
20,14118.11564236038,18126.37197483579,14118.11564236038,18126.37197483579
21,14118.11564236038,17919.96769629994,14118.11564236038,17919.96769629994
22,14118.11564236038,18061.482919163584,14118.11564236038,18061.482919163584
23,14118.11564236038,18526.00451392912,14118.11564236038,18526.00451392912
24,14118.11564236038,18900.73550715598,14118.11564236038,18900.73550715598
25,14118.11564236038,18524.63338725339,14118.11564236038,18524.63338725339
26,14118.11564236038,18258.483238400648,14118.11564236038,18258.483238400648
27,14118.11564236038,18201.84931527671,14118.11564236038,18201.84931527671
28,14118.11564236038,18202.4008235953,14118.11564236038,18202.4008235953
29,14118.11564236038,18123.998378742406,14118.11564236038,18123.998378742406
30,14118.11564236038,17926.410025784193,14118.11564236038,17926.410025784193
31,14118.11564236038,17834.113112546605,14118.11564236038,17834.113112546605
32,14118.11564236038,18055.319758919446,14118.11564236038,18055.319758919446
33,14118.11564236038,18216.18511895745,14118.11564236038,18216.18511895745
34,14118.11564236038,17631.61130321219,14118.11564236038,17631.61130321219
35,14118.11564236038,18128.951046076694,14118.11564236038,18128.951046076694
36,14118.11564236038,18258.878734706406,14118.11564236038,18258.878734706406
37,14118.11564236038,17940.9299332932,14118.11564236038,17940.9299332932
38,14118.11564236038,18187.594193781337,14118.11564236038,18187.594193781337
39,14118.11564236038,17758.20118590183,14118.11564236038,17758.20118590183
40,14118.11564236038,18995.2857315896,14118.11564236038,18995.2857315896
41,14118.11564236038,18496.486918690727,14118.11564236038,18496.486918690727
42,14118.11564236038,17964.669847634974,14118.11564236038,17964.669847634974
43,14118.11564236038,18319.04052567781,14118.11564236038,18319.04052567781
44,14118.11564236038,18329.45671801756,14118.11564236038,18329.45671801756
