iter,best,mean,best_route_time,mean_route_time
1,31060.848076738577,37378.98954684403,31060.848076738577,37378.98954684403
2,31060.848076738577,35150.7707884529,31060.848076738577,35150.7707884529
3,31060.848076738577,34457.096389317565,31060.848076738577,34457.096389317565
4,31060.848076738577,33957.586468150934,31060.848076738577,33957.586468150934
5,31060.848076738577,33767.22819083471,31060.848076738577,33767.22819083471
6,31060.848076738577,33620.22398582835,31060.848076738577,33620.22398582835
7,31060.848076738577,33420.907613730225,31060.848076738577,33420.907613730225
8,31060.848076738577,33279.017359183825,31060.848076738577,33279.017359183825
9,31060.848076738577,33153.26108639834,31060.848076738577,33153.26108639834
10,31060.848076738577,33083.59809610114,31060.848076738577,33083.59809610114
11,31060.848076738577,32986.20708486944,31060.848076738577,32986.20708486944
12,31060.848076738577,32970.09887088382,31060.848076738577,32970.09887088382
13,31060.848076738577,32909.277745268075,31060.848076738577,32909.277745268075
14,31060.848076738577,32851.31700397122,31060.848076738577,32851.31700397122
15,31060.848076738577,32827.6985295577,31060.848076738577,32827.6985295577
16,31060.848076738577,32782.451345806185,31060.848076738577,32782.451345806185
