iter,best,mean,best_route_time,mean_route_time
1,21303.92631462267,22980.195962412887,21303.92631462267,26239.40797755764
2,21303.92631462267,22499.51376048538,21303.92631462267,26029.51974699621
3,21303.92631462267,22073.219400328686,21303.92631462267,25523.14449576604
4,21303.92631462267,21769.719060954238,21303.92631462267,25078.30135512675
5,21303.92631462267,21598.270130841025,21303.92631462267,24317.205250402116
6,21303.92631462267,21498.0411306856,21303.92631462267,24639.092706334814
7,21303.92631462267,21418.4206951698,21303.92631462267,25020.88942535148
8,21303.92631462267,21392.086777645334,21303.92631462267,25012.306202394568
9,21303.92631462267,21377.307044251742,21303.92631462267,25705.296804654805
10,21303.92631462267,21360.081528127357,21303.92631462267,25124.676806326934
11,21303.92631462267,21346.342382214945,21303.92631462267,25161.651690209717
12,21303.92631462267,21346.342382214945,21303.92631462267,24652.241940576147
13,21303.92631462267,21333.302727512684,21303.92631462267,25045.11672386585
14,21303.92631462267,21316.965969324927,21303.92631462267,24482.880364607387
15,21303.92631462267,21316.965969324927,21303.92631462267,24427.599747406
16,21303.92631462267,21316.965969324927,21303.92631462267,24362.8277293608
17,21303.92631462267,21316.965969324927,21303.92631462267,24988.2586358839
18,21303.92631462267,21316.965969324927,21303.92631462267,24465.736133296698
19,21303.92631462267,21316.965969324927,21303.92631462267,24860.997873295226
20,21303.92631462267,21303.926314622673,21303.92631462267,25270.556148975822
21,21303.92631462267,21303.926314622673,21303.92631462267,24691.301875327004
22,21303.92631462267,21303.926314622673,21303.92631462267,24524.557102022663
23,21303.92631462267,21303.926314622673,21303.92631462267,25091.902744534113
24,21303.92631462267,21303.926314622673,21303.92631462267,24772.79898244894
25,21303.92631462267,21303.926314622673,21303.92631462267,24487.082757868127
26,21303.92631462267,21303.926314622673,21303.92631462267,25748.492183379574
27,21303.92631462267,21303.926314622673,21303.92631462267,25363.44476125162
28,21303.92631462267,21303.926314622673,21303.92631462267,24433.793032939393
29,21303.92631462267,21303.926314622673,21303.92631462267,24727.729171169256
30,21303.92631462267,21303.926314622673,21303.92631462267,24440.622291608433
31,21303.92631462267,21303.926314622673,21303.92631462267,24070.912548856224
32,21303.92631462267,21303.926314622673,21303.92631462267,24809.178492801377
33,21303.92631462267,21303.926314622673,21303.92631462267,25203.20385793884
34,21303.92631462267,21303.926314622673,21303.92631462267,24511.89444020016
35,21303.92631462267,21303.926314622673,21303.92631462267,25120.501571747343
36,21303.92631462267,21303.926314622673,21303.92631462267,24478.684174942748
37,21303.92631462267,21303.926314622673,21303.92631462267,24550.915257057943
38,21303.92631462267,21303.926314622673,21303.92631462267,24834.82216981534
39,21303.92631462267,21303.926314622673,21303.92631462267,24720.558060525615
40,21303.92631462267,21303.926314622673,21303.92631462267,25162.96433235637
41,21303.92631462267,21303.926314622673,21303.92631462267,24633.622210288304
42,21303.92631462267,21303.926314622673,21303.92631462267,24488.11169318629
43,21303.92631462267,21303.926314622673,21303.92631462267,24836.002713169364
44,21303.92631462267,21303.926314622673,21303.92631462267,24898.748006559308
45,21303.92631462267,21303.926314622673,21303.92631462267,24656.957039524503
46,21303.92631462267,21303.926314622673,21303.92631462267,24561.67516842041
47,21303.92631462267,21303.926314622673,21303.92631462267,24751.821106974985
48,21303.92631462267,21303.926314622673,21303.92631462267,24976.28422303332
49,21303.92631462267,21303.926314622673,21303.92631462267,24471.87807018327
50,21303.92631462267,21303.926314622673,21303.92631462267,24910.96452089683
51,21303.92631462267,21303.926314622673,21303.92631462267,25113.874680438
52,21303.92631462267,21303.926314622673,21303.92631462267,24326.443875057084
53,21303.92631462267,21303.926314622673,21303.92631462267,24144.739304527477
54,21303.92631462267,21303.926314622673,21303.92631462267,24785.205548577793
55,21303.92631462267,21303.926314622673,21303.92631462267,24839.184545877506
56,21303.92631462267,21303.926314622673,21303.92631462267,24557.852507054642
57,21303.92631462267,21303.926314622673,21303.92631462267,24463.38836653163
58,21303.92631462267,21303.926314622673,21303.92631462267,24621.25452378661
59,21303.92631462267,21303.926314622673,21303.92631462267,24948.837019600793
